c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g
2223,2377.8,2555.2,2723.3,2846.8,3000.6,3150.7,3304.6,3440,3596.7,3752.2,3897.6,4035.9,4156.5,4300,4444.3,4586.3,4722.8,4874.8,5027.2,5111.3,5213.5,5342.5,5432.3,5557.4,5682.6,5823.7,5939.5,6010.8,6169.1,6295.4,6444.2,6589.3,6741.4,6826.1,6925.6,7050,7144,7268.7,7396.1,7529.4,7642.5,7714.6,7889.9,8028.8,8145.4,8261.7,8331.2,8490.1,8685,8793.9,8930.6,9062.8,9214.2,9350.2,9499.3,9642.7,9779.3,9921,10056,10213,10362,10446,10548,10679,10773,10896,11023,11154,11270,11340,11498
2262.3,2422.2,2604.5,2778.1,2916.3,3069.1,3223.9,3373.8,3511,3667.4,3813.6,3960.4,4099.1,4219.2,4361.6,4506.5,4651.8,4801.6,4954.9,5087.5,5182.1,5281.9,5398.6,5527.8,5653.1,5746.3,5881.2,6002.1,6080.3,6225.9,6376.3,6523.9,6673,6801.3,6896.2,6995.8,7107.9,7235.4,7364.8,7460.9,7586.8,7709.3,7785.7,7950.5,8069.4,8200,8323.3,8400.7,8549.4,8731.6,8863.3,9002,9135.2,9286.6,9431.2,9565.8,9707.8,9845.6,9989.4,10137,10294,10423,10515,10622,10734,10864,10992,11085,11213,11334,11412,11536
