g,c,c,c,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,g,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,e,e,j,j,j,j,i,l,l,d,f,g,b,e,f,c,e,e,e,j,j,j,i,l,l,d
2506.7,2686.1,2834.5,2972.6,3112.2,3250.2,3398.7,3552.5,3703.1,3840.3,3998.3,4167.8,4313.7,4424.5,4629.4,4783.1,4934.8,5081.7,5212.7,5349.7,5492.8,5651.3,5781.8,5918,6055,6190.1,6336.5,6485.7,6621.8,6757.2,6900.4,7045.8,7129.8,7228.3,7355.5,7448.8,7572.2,7697.1,7823,7938.1,8008.7,8232.3,8352.4,8496.9,8640.8,8783.8,8916.9,9060.1,9207.7,9351.4,9497,9581.8,9683.6,9809.2,9900.2,10254,10388,10515,10653,10812,10945,11084,11223,11358,11499,11644,11792,11876,11974,12101
2541.6,2722.1,2878,3020.7,3160.2,3316.7,3469.6,3619.5,3771.1,3909.8,4073.4,4239.9,4386.7,4525.4,4700.2,4843.7,4996.8,5156.6,5275.5,5412.6,5551.1,5685.8,5833.8,5986.5,6126.3,6262.1,6408.7,6561.7,6689,6832.9,6981.2,7105.6,7197.7,7295.8,7408,7539.7,7665.8,7760.8,7878.6,8001.8,8077.1,8276.2,8415.4,8561.3,8707.1,8846.9,8996.8,9140.5,9290,9432.8,9558.9,9653.3,9752.3,9861.8,9992.5,10299,10434,10579,10691,10858,11010,11145,11286,11436,11581,11724,11853,11944,12044,12153
