c,c,c,c,b,b,g,g,b,c,e,e,e,e,e,j,j,i,l,l,d,f,g,g,e,e,j,j,g,b,g,g,g,h,h,d,k,l,e,j,j,i,l,l,d,f
2189.1,2332.8,2493.1,2629.8,2762.7,2936.3,3965,4119.7,4295.2,4453.1,4622.1,4778.7,4932.3,5088.2,5242.1,5385.2,5522,5672.8,5756,5858.7,5987.4,6081.8,6453.4,6620.7,6780.5,6927.2,7061,7217,7371.9,7533.2,7659.3,7951.1,8105,8259.2,8407.1,8534.5,8655.5,8724.5,8912.4,9053.9,9198.6,9356.8,9438.9,9542.3,9673.4,9765.5
2220.8,2377.3,2542.7,2680.2,2825.9,3002,4003,4159.3,4320.1,4491.8,4675.3,4835,4988.1,5145.7,5302.3,5466.3,5603.9,5733,5826,5931,6034.7,6136.3,6500.5,6667.6,6839.1,6984.4,7139.3,7297,7420.4,7580.3,7707.8,7999.3,8161.7,8286.6,8436.2,8584.8,8699.3,8772.6,8969.6,9135.9,9283.9,9415.9,9508.7,9611.4,9721.3,9811.7
