c,c,c,c,c,c,c,g,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,e,b,b,b,b,b,b,b,b,b,c,g,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,d,l,l,g,g,b,e,h,b,g,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,d,k,l,e,j,h,g,g,b,e,e,e,e,e,j,j,i,l,l,d,f
1838.7,1985.1,2149.7,2335.1,2475.8,2628.1,2794.5,3015.4,3186.5,3328.6,3496.8,3657.3,3809.6,3971.2,4120.1,4303.1,4473.3,4615.1,4793.8,5001.3,5161,5309.7,5468.4,5631.3,5797.8,5935.9,6086.3,6247.5,6424.3,6547.1,6677.8,6822,6966.8,7110.3,7260.8,7413,7560.6,7717.3,7925.8,8092.8,8239.8,8379.1,8523.2,8673.7,8758.9,8860.8,8991.7,9082.3,9207.9,9336.1,9466,9584.2,9657.3,9824.9,9944.9,10084,10213,10286,10530,10676,10833,10960,11089,11208,11347,11492,11626,11773,11919,12065,12213,12299,12401,12533,12625,12754,12889,13020,13138,13209,13417,13540,13670,13788,13898,13979,14138,14262,14387,14459,14622,14753,14903,15077,15232,15389,15518,15657,15806,15947,16087,16222,16373,16526,16612,16719,16846,16938
1875,2026.2,2190,2374.5,2515.9,2677.9,2847.5,3054.4,3227.4,3392.2,3565.7,3730.6,3877.8,4037.3,4189.8,4373.9,4546.2,4692.4,4863.4,5058.2,5219.2,5367.6,5529,5696.8,5860.4,6012.9,6165.7,6296.1,6475.2,6613.4,6748.4,6897.2,7034.1,7184.5,7335.2,7494,7642.7,7753.8,7969.1,8151.7,8305.8,8455.8,8600.4,8732.4,8825.7,8927.9,9040.9,9174,9301.6,9399.3,9522.7,9644.2,9726.2,9862.5,10005,10141,10266,10319,10567,10715,10877,11022,11128,11262,11388,11552,11706,11852,11999,12146,12274,12368,12471,12589,12719,12847,12951,13075,13198,13282,13459,13595,13710,13841,13965,14048,14197,14320,14445,14525,14684,14832,14948,15115,15274,15435,15577,15720,15866,16010,16149,16303,16454,16586,16683,16785,16899,17035
