c,c,c,c,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,b,e,e,e,e,h,d,k,l,b,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,f
2287.6,2424.7,2586.6,2716.4,2875.7,3040.7,3229,3408.5,3573.1,3775.9,3923.5,4072.7,4227.6,4371.5,4527.7,4675.2,4814.1,4961.5,5104.2,5192.9,5290.3,5415.8,5504.1,5628.3,5753.3,5880.8,5993.2,6060.7,6226.6,6355.5,6493.5,6636.1,6787.2,6873.2,6972,7096.6,7185.8,7310.1,7434.4,7561.2,7673.6,7745.1,7897.6,8034.8,8171.1,8238.4,8438.8,8552.9,8693.7,8847.8,8989.9,9133.7,9259.4,9372.3,9444.1,9621.3,9744.4,9906.6,10048,10187,10330,10472,10623,10706,10807,10931,11021,11142,11270,11400,11515,11584,11740,11869,11991,12111,12183,12334,12465,12667,12783,12933,13081,13230,13366,13514,13666,13820,13904,14003,14126,14217,14340,14402
2311.2,2457.8,2621.4,2766.5,2930.9,3099.9,3274.7,3444.9,3633.5,3831.8,3980.3,4131.8,4315,4449.2,4603.7,4746.4,4891,5037.1,5162.5,5255.2,5351.9,5465,5591.6,5719.7,5816.8,5931.9,6054.1,6127.9,6287.5,6432.2,6569.6,6714,6848.2,6937.3,7034,7145.3,7273.8,7404,7494.2,7613.5,7735,7812.2,7957.2,8091.7,8214,8297.9,8477.7,8616.4,8761.8,8912.6,9054.4,9169.7,9312.6,9432.4,9509.4,9661.2,9809.7,9974.6,10122,10266,10407,10552,10683,10775,10873,10984,11110,11234,11329,11455,11574,11652,11798,11908,12045,12168,12244,12395,12504,12697,12848,13002,13144,13298,13445,13593,13744,13876,13969,14071,14172,14308,14387,14431
