c,c,c,c,c,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,h,c,e,h,d,k,l,e,e,g,h,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l
3112.2,3238.8,3382,3520.4,3682.1,3821.4,3985.3,4129.6,4271.8,4424.7,4583.4,4749.8,4899.2,5054.6,5218.6,5374.7,5537.9,5677.6,5819.9,5954.3,6089.4,6226.2,6371,6515.3,6659.1,6811,6957.9,7040.1,7142.1,7268.8,7359.2,7481.8,7607.3,7737.1,7857.7,7925.8,8074.6,8200.7,8312.8,8385.6,8540.6,8670.2,8815.8,8965.7,9050.5,9150.3,9281.2,9372.8,9495.9,9623.2,9752.6,9867.2,9939.2,10092,10222,10337,10406,10574,10708,10839,10958,11096,11220,11348,11488,11605,11721,11791,11948,12098,12248,12400,12532,12658,12795,12922,13071,13227,13379,13465,13564,13692,13784,13912,14040,14172,14286,14358,14561,14684,14819,14932,15055,15128
3144.3,3277.1,3423.6,3564,3729.1,3890,4057.2,4195.1,4342.3,4488.8,4655.6,4822.9,4973.5,5130.6,5285.9,5447.4,5609.5,5736.7,5881.8,6019.8,6152.7,6289.6,6434,6591.9,6742,6889.6,7017.5,7108.2,7209.1,7322.2,7453.7,7575.3,7667.8,7793.3,7897.5,7975.3,8137,8256.7,8374.3,8455.2,8597.3,8751.2,8899.3,9027.2,9121.4,9219.3,9332.9,9463.9,9590.7,9685.1,9807.1,9929,10007,10151,10278,10399,10474,10635,10752,10883,11020,11138,11274,11414,11533,11661,11785,11861,12011,12159,12304,12435,12582,12721,12858,12999,13152,13307,13440,13532,13634,13743,13879,14009,14102,14227,14347,14428,14603,14740,14864,14985,15115,15193
