b,c,c,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,b,e,h,c,e,k,h,g,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e
2246.1,2407.2,2526.8,2688.4,2825.9,2970.3,3118.3,3271.6,3432.3,3584.9,3721.8,3874.1,4032.2,4181.5,4314.2,4449.9,4579.6,4718.3,4851.7,4996.8,5138.7,5285.4,5368.4,5469.2,5598.1,5687.9,5810.3,5935.5,6067.3,6183.8,6252.8,6431.1,6555.7,6699.2,6835.4,6987.2,7069.3,7171.1,7294.6,7386.9,7509.6,7634.7,7765.7,7877.2,7949.5,8101.6,8225.3,8371.4,8519.5,8604.2,8703.7,8835.6,8927.4,9053.6,9179.8,9313.8,9430.3,9501.9,9659.2,9783.3,9899.1,10021,10086,10271,10385,10519,10653,10779,10920,11058,11191,11335,11467,11615,11751,11881,12024,12180,12326,12470,12555,12656,12783,12875,13000,13127,13261,13377,13448,13642,13766
2289.4,2448.7,2573.1,2733.6,2881.3,3035.4,3187.7,3342.5,3499.9,3656.8,3797.3,3944.5,4096.1,4240.8,4389.5,4515.6,4640.3,4795.1,4930.9,5076.4,5218.4,5344.9,5438.1,5537.1,5650.5,5778.6,5904.1,5999.5,6123.6,6244.3,6324.4,6476,6614.2,6760.8,6928.8,7047.6,7140.9,7238.3,7345.5,7478.8,7604.3,7699.6,7820.6,7943.6,8022.1,8163.7,8304.4,8449.6,8579.2,8671.3,8775.1,8889.9,9020.1,9150.4,9241,9367,9492,9568.6,9719.2,9826.2,9957,10075,10157,10308,10447,10559,10697,10838,10979,11101,11226,11384,11532,11678,11814,11960,12105,12259,12405,12532,12626,12728,12836,12968,13094,13189,13315,13437,13518,13681,13828
