g,b,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,i,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h
3326.4,3511.8,3674.6,3816.6,3957.5,4120.4,4276.5,4425,4560,4689.6,4863.1,5038.4,5201.9,5337.1,5463.6,5606.2,5745.1,5887,6031.5,6174,6353.8,6478,6629.9,6774.8,6918,7065.9,7150.9,7253.4,7382.8,7474.7,7596.5,7723.9,7853.3,7972.8,8043.8,8208.3,8349.6,8496.7,8644.8,8797.2,8882.2,8984.9,9115.7,9208,9333,9460.3,9596.3,9723.2,9793.4,9951.1,10085,10233,10383,10539,10624,10727,10859,10953,11079,11206,11348,11468,11540,11704,11846
3365.4,3558.8,3718.2,3854.7,4002.9,4192.8,4345.4,4495.7,4632.6,4767.8,4935.3,5103.2,5272.8,5400.7,5526.8,5672.3,5810,5946.4,6096.2,6241,6403.5,6548.5,6697.4,6857,6999,7126,7221.5,7319.3,7438.9,7566.4,7689.8,7786.7,7912.9,8035.1,8117.1,8270.2,8428.5,8577.9,8727.6,8858.6,8950.3,9052.9,9167.8,9303.4,9427.4,9524.1,9651.7,9771.1,9848.2,10013,10165,10315,10467,10601,10693,10796,10919,11047,11172,11269,11403,11528,11606,11766,11888
