c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,e,e,e,j,j,j,i,l,l,d,f,f,c,e
3099,3231.9,3376.5,3531.4,3681.1,3822.3,3967.6,4130.6,4280.2,4432.4,4568,4716,4885.5,5032.3,5169.5,5313.2,5456.4,5597.2,5738.6,5884.3,6025.2,6177.8,6325.6,6414.8,6513.6,6638.3,6729.2,6852.9,6977.8,7110.7,7226.9,7300.5,7453.6,7591,7707.1,7776.4,7932.8,8060.5,8208.7,8356.4,8506,8590.6,8689.3,8814.3,8908.3,9034.6,9160.4,9293.7,9417.2,9486.6,9634.6,9778.7,9915.1,10058,10188,10333,10478,10630,10715,10818,10946,11040,11163,11328,11452
3124.2,3261.2,3414,3574.4,3734.4,3877.9,4032,4194.4,4335.9,4487.8,4624.8,4769.1,4958.1,5093.2,5234.7,5378.8,5522.6,5664.1,5805.5,5956.3,6104,6255,6382.4,6478.4,6577.9,6688.4,6820.4,6946.3,7038.8,7167.4,7290.1,7365.3,7517.3,7645.3,7764.8,7843.8,7994.4,8139,8285.4,8436.2,8562.9,8657.5,8760.3,8867.2,9000.6,9127.2,9220.8,9347.8,9459.8,9530.5,9693.5,9842.6,9977.6,10126,10265,10412,10558,10687,10782,10883,10999,11130,11211,11365,11515
