c,c,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,i,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,e,e,e
533.88,671.84,822.19,972.09,1138.2,1314.2,1466.1,1624.5,1781.2,1957,2104.7,2267.6,2446.1,2627.8,2766,2918.3,3063.8,3207.7,3348.9,3487.9,3637.7,3779.4,3925,4079.9,4349.8,4463.6,4602,4753.7,4893,5039.1,5191.1,5276.2,5380.6,5506.3,5597.4,5718.9,5846.4,5975.2,6089.7,6163.1,6360.2,6479.1,6609.5,6718.9,6836.2,6907.3,7062.9,7193.2,7343.1,7492.2,7579.3,7681,7807.9,7900.4,8022.5,8148.3,8287.2,8402.5,8475.8,8632.9,8767.6,8913.1,9059.8,9186.4,9335.2,9479
566.97,708.81,857.53,1001.1,1180.6,1350.1,1529.5,1688.8,1845.9,2013.4,2168,2332.9,2511.8,2699.3,2828.5,2977.2,3124.3,3271.1,3408.6,3549.1,3697.4,3850.3,4003.2,4130.7,4389.8,4527.7,4668.1,4820.6,4972,5118.2,5250.7,5343.2,5448.7,5554.3,5689.4,5811,5908.1,6029.2,6149.4,6227.4,6401.4,6539.4,6651.8,6779.6,6895.4,6977.7,7125.1,7270.1,7420.2,7550.8,7646,7746.7,7860.6,7992,8115.1,8210.8,8342.6,8463.6,8543.4,8689.8,8809.5,8947,9107.1,9254.8,9405.8,9548.2
