g,c,c,c,c,c,c,g,g,c,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,g,b,b,b,b,b,b,b,b,g,g,e,e,j,h,h,h,g,g,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g,b,e,h,g,b,b,g,g,g,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,h
2384.1,2462.6,5119.9,5258.4,5402.3,5547,5710.5,6599,6740.5,6885.4,7031.2,7162.5,7314.2,7462.2,7625.5,7778,7920.6,8062.7,8212.1,8365,8513,8669.3,8813.7,8955,9089.1,9225.6,9382.8,9542.6,9667.7,9799.4,9936.7,10076,10230,10363,10508,10665,10825,10949,11100,11248,11388,11574,11710,11838,11982,12136,12286,12423,12572,12714,12860,13007,13092,13192,13318,13410,13530,13658,13790,13904,13976,14178,14305,14455,14582,14709,14904,15058,15172,15329,15480,15618,15769,15896,16039,16168,16316,16458,16609,16694,16797,16926,17016,17136,17265,17402,17517,17590,17746,17877,17993,18107,18178,18343,18475
2407.6,2530.2,5157.4,5301.9,5448.3,5591.7,5757.4,6636.6,6783.7,6913.3,7066.8,7210.4,7369.4,7525.8,7696.1,7846.2,7991.3,8134.9,8283.4,8435.9,8572.8,8729.5,8872.8,9016.5,9151.3,9285.2,9445.1,9585.7,9716.6,9871.5,10002,10145,10297,10437,10585,10734,10847,10994,11164,11311,11466,11611,11745,11875,12019,12181,12348,12504,12648,12790,12938,13068,13159,13258,13368,13500,13623,13715,13845,13963,14041,14202,14352,14500,14642,14751,14944,15103,15242,15360,15521,15665,15812,15958,16104,16246,16390,16539,16669,16763,16867,16973,17105,17226,17326,17453,17578,17656,17806,17922,18044,18165,18245,18394,18511
