g,c,c,c,c,c,c,c,b,b,b,e,e,e,e,e,j,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,c,g,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
3438.2,3570.6,3757.9,3924,4065,4220.7,4364.1,4540.9,4710,4876.4,5049.7,5214.2,5402.6,5539,5692.5,5847.8,5979.8,6207.8,6358.7,6505.6,6645.4,6791.6,6936.5,7020.8,7121.1,7248.4,7340.7,7463.1,7590,7735.3,7847.8,7918,8074.5,8212.4,8357.3,8501.2,8651.8,8736.3,8835.7,8960.7,9053.4,9178.2,9306,9437.5,9555.2,9626.2,9811.5,9925.9,10070,10206,10338,10482,10628,10777,10862,10962,11087,11177,11300,11428,11562,11673,11742,11894,12026,12172,12294,12427,12567,12691,12831,12970,13105,13238,13383,13529,13677,13761,13865,13993,14083,14208,14369,14529,14656,14789,14935,15083,15238,15375,15530,15681,15766,15877,16001,16091,16220,16350,16478,16596,16666
3478.3,3592.2,3791.4,3956.8,4102.4,4266.4,4415.5,4588,4782.7,4946.1,5119.9,5275.7,5468.5,5611.5,5758.7,5906.3,6058.9,6259.1,6419.7,6565.8,6724.5,6866.3,6995.5,7087.8,7191.5,7300.3,7432.2,7555.5,7652.6,7790.2,7907,7989.4,8133.4,8292.3,8433.2,8580.3,8712.6,8804.6,8906.1,9014.5,9146.6,9271.2,9365.3,9490.3,9615.8,9695.7,9851.2,9987.8,10133,10269,10415,10563,10706,10841,10932,11031,11140,11269,11393,11492,11615,11734,11812,11957,12071,12215,12357,12470,12609,12752,12893,13039,13173,13319,13464,13610,13734,13830,13936,14044,14176,14301,14396,14568,14708,14853,14999,15148,15302,15456,15610,15739,15836,15944,16056,16186,16313,16405,16536,16659,16734
