g,b,b,b,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,d,k,l,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,g,g,b,e,h,b,e,h,h,g,b,b,b
2231.2,2410.8,2535.5,2683.3,2836.2,2980.3,3130.2,3277.8,3425.9,3577.3,3719.4,3861.8,4038.2,4199,4354.9,4493.8,4628.6,4770.1,4918.2,5061.5,5203.8,5355.1,5439.5,5542.5,5672.2,5762.7,5890.6,6017.8,6155.7,6275.7,6345.3,6500.9,6634.1,6779,6923.5,7079.6,7163.8,7267.1,7397.9,7491.5,7618.3,7745.6,7881.4,8000,8072.3,8229.7,8362.8,8480.5,8553.7,8714.8,8856.9,8970,9084,9158,9321.2,9474.1,9622,9750.8,9898.3,10052,10211,10299,10398,10529,10624,10750,10878,11014,11134,11207,11368,11502,11654,11808,11896,11998,12130,12225,12357,12488,12645,12802,12939,13065,13202,13332,13459,13599,13756,13910,14051,14197,14338
2276.6,2451.1,2580.8,2731.9,2886.7,3055.4,3203.4,3353.1,3499.8,3650,3784.9,3938.2,4110.8,4268.7,4417.6,4556.4,4696.7,4837.2,4983.2,5140.4,5290.9,5420.7,5511.8,5613.2,5724.5,5855,5984.4,6085.2,6211.9,6336.2,6417,6561.9,6716.3,6864.8,7006.9,7137.1,7237.1,7342.1,7451.4,7586.2,7712.2,7812.3,7939.2,8064.9,8149.2,8291,8423,8543.7,8624.3,8781,8902.6,9023.5,9145.2,9228.8,9382.5,9539.2,9689,9834.8,9984.1,10137,10273,10368,10471,10586,10718,10846,10943,11073,11197,11280,11432,11589,11738,11874,11966,12069,12184,12320,12450,12553,12696,12838,12986,13134,13251,13379,13524,13643,13788,13957,14119,14265,14406
