c,c,b,c,b,c,c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,b,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,g,g,g,g,b,e,e,e,j,i,l,l,d
32.031,192.34,323.91,503.5,622.5,785.59,2192.6,2345.5,2482.4,2616.9,2790.6,2936.3,3113.1,3293.7,3437.4,3580.9,3720.9,3870.3,4016,4162.8,4301.3,4437.3,4569.3,4713,4867.7,4951.5,5054.9,5181,5270.6,5391.8,5517.4,5650.3,5764.1,5833.6,6008,6122.8,6258.2,6384.7,6505.4,6649.6,6798,6937.8,7076.8,7233,7321.4,7419.5,7546,7634.8,7755.7,7880.7,8014.3,8129.2,8199.7,8355.2,8487.8,8632.7,8784.1,8871,8973.8,9099.4,9193,9316.1,9445.8,9590.2,9703.3,9776.2,10002,10158,10299,10458,10627,10784,10907,11043,11181,11318,11474,11560,11662,11788
70.844,213.31,373.44,548.84,690.56,840.09,2231.6,2388,2526.6,2686.8,2859.5,3002.8,3175.8,3353.3,3501.7,3641.8,3793.5,3935.6,4080.2,4224.5,4365.7,4495.3,4645,4791.1,4925.8,5018.6,5117.7,5226.4,5362.3,5480.6,5582.7,5705.7,5825.3,5901,6043.7,6182,6298.2,6427.8,6565.2,6708.4,6860,6998.5,7154.6,7288.3,7384.2,7481.1,7593.2,7725.4,7852.3,7945.5,8068.8,8193.7,8267.5,8417.4,8566,8711.6,8843.2,8941.7,9043.9,9152.1,9287.4,9409.6,9506,9644.5,9762.8,9838.5,10043,10189,10344,10495,10657,10822,10966,11104,11243,11398,11533,11627,11725,11840
