c,c,c,c,c,c,b,b,c,b,b,b,b,b,b,b,c,e,e,e,e,e,e,h,b,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,g,b,e,e,e,g,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,g
1821.5,1990.3,2126.6,2254.7,2383.8,2549.8,2711.3,2853.8,3075.1,3222.4,3380.6,3549.8,3703.8,3845.2,4005,4161.6,4345.7,4501.2,4651.9,4798.5,4940.6,5094.1,5250.2,5438.6,5574,5703.7,5840.2,5990.9,6147,6292.2,6437.6,6575.2,6723.3,6865.7,7023.7,7190.5,7341.8,7486.6,7622.2,7760.7,7914,7997,8102.1,8230.2,8322.2,8448.1,8574.2,8714.5,8831.5,8900.1,9062.3,9187.8,9312.5,9384.2,9547.4,9671.7,9815.4,9974.9,10100,10246,10382,10518,10660,10797,10938,11091,11176,11279,11409,11502,11630,11758,11892,12008,12081,12267,12388,12529,12646,12780
1858,2028.1,2168.3,2295.4,2430.3,2590.2,2771.6,2929.3,3129.8,3292,3454,3618.8,3772.3,3920.1,4072.3,4236.5,4396.5,4560.1,4714.9,4856.3,5001.9,5157.4,5313.1,5470.4,5626.9,5774.2,5913.2,6062,6217.9,6362,6509.7,6648.1,6794.8,6940.7,7099.4,7249.5,7403.4,7550.8,7697.1,7838.8,7972.3,8066.1,8169.5,8279.2,8417.2,8538.7,8636.4,8767.2,8890.6,8969.9,9120.8,9244.7,9372.9,9451.5,9598.3,9707.9,9849.5,10022,10163,10308,10448,10573,10726,10874,11021,11151,11245,11348,11463,11597,11722,11813,11947,12068,12150,12305,12446,12565,12696,12832
