g,b,c,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,c,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,c,e,h,c,e,d,k,l
2265.9,2461.2,2599.4,2728.2,2869,3018.4,3163.6,3319.3,3446,3585.6,3723.2,3862.1,3997.3,4132.1,4282.2,4367.7,4467.2,4594,4687.6,4883.8,5012.2,5161,5300.7,5434.4,5569.3,5711,5857.8,5940.8,6042.2,6171.3,6264.4,6389,6512.5,6643.3,6756.1,6827.5,6981.1,7114.2,7231.5,7302.2,7461.1,7616.6,7701,7782.5,7932.6,8021.8,8147.3,8274.8,8411.1,8528,8599.6,8760.3,8888.8,9006.8,9077.8,9234.4,9363.8,9516.5,9666.2,9813.8,9901.1,10005,10133,10228,10353,10480,10617,10740,10811,10981,11119,11245,11366,11505,11652,11792,11941,12070,12218,12370,12525,12611,12715,12846,12940,13066,13273,13403,13549,13689,13820,13961,14091,14160
2315.2,2504.9,2641,2793.2,2939.2,3086.1,3231.3,3390.9,3518.6,3649.5,3786.7,3923.5,4070,4212.2,4338.9,4434.2,4534,4653.3,4779.1,4931.7,5076.8,5225.8,5368.3,5503.6,5649.2,5789.7,5918.2,6013.2,6111.8,6220.7,6357.7,6484.8,6577.4,6700.1,6814.9,6898.8,7040.6,7169.2,7292.8,7380.3,7542.4,7676.6,7773.9,7873.2,7984.8,8116.4,8245,8340.3,8467.2,8590.1,8666.8,8822.9,8942.7,9068,9149.8,9299.8,9447.1,9598.8,9750.5,9875,9971.5,10076,10186,10321,10450,10543,10672,10806,10885,11046,11158,11285,11430,11571,11720,11856,12010,12151,12299,12452,12586,12683,12788,12899,13037,13124,13319,13466,13593,13726,13884,14023,14153,14234
