g,c,c,c,b,g,g,g,b,e,e,e,e,j,j,b,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2350.6,2533.3,3205.6,3310.3,3472.5,4350.7,4490.2,4662.7,5143.5,5288.4,5454.1,5602,5738.7,5883.7,6026.3,6231.5,6353.4,6504.2,6623.4,6779.5,6920.8,7055.5,7212.7,7370.5,7507.3,7641.1,7775.7,7916.6,8059.1,8202.4,8293.3,8390.3,8518.4,8609.2,8729.2,8856.1,8989.3,9101.8,9170.7,9333.2,9470.4,9577.2,9693.4,9765.6,9922,10053,10200,10320,10460,10608,10754,10901,10986,11089,11213,11304,11431,11560,11697,11812,11885,12038,12175,12320,12468,12624,12708,12810,12938,13030,13158,13290,13436,13553,13629
2389.7,2558,3227,3351.3,3539.7,4387.8,4538.5,4710.5,5182.9,5366.3,5518.3,5665.6,5799.3,5960.3,6101.7,6255.8,6417.6,6556.2,6698.4,6851.9,6988.9,7130.4,7274.7,7437.8,7572.8,7708.1,7851,7993.6,8137.5,8261.1,8355.3,8454.7,8571,8698.3,8819,8919.3,9038.4,9163.9,9242.8,9392.3,9510.4,9631.4,9747.5,9827.9,9978.8,10091,10237,10384,10539,10685,10831,10961,11054,11153,11270,11395,11525,11620,11750,11872,11951,12098,12253,12401,12551,12682,12777,12881,12994,13125,13254,13352,13490,13614,13692
