c,c,c,c,c,c,b,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f
1828.9,1991.6,2155.8,2301.1,2452.1,2596,2771.2,2896.9,3032.6,3195.9,3345.2,3503.1,3645.1,3815.6,3979.1,4129.9,4274.1,4409.9,4550.6,4701.2,4839,4989.4,5140.3,5227.6,5327.2,5452.5,5547,5671.9,5801.2,5937.3,6053.3,6125.7,6315.5,6441.1,6579.3,6688.8,6806,6878,7032.2,7154.9,7274.7,7345.9,7499.6,7632.8,7783.7,7928.6,8077.2,8162.8,8265.3,8393,8482.7,8608,8729.5,8866.1,8984.1,9056.3,9213.2,9349.2,9501.8,9653.8,9739,9846.5,9977,10073,10136
1856.7,2015.9,2190.3,2338.9,2484,2641.8,2810,2955.6,3105.9,3265.8,3418.7,3572,3714.9,3882.6,4041.7,4192.3,4336.6,4470.1,4615.1,4770.2,4916.1,5068.1,5201.5,5295.2,5394.8,5511.3,5639.8,5765.9,5864.4,5992.8,6113.9,6193.3,6359.4,6503.4,6619.2,6746.5,6865.6,6947,7094.4,7212.6,7332.2,7424.2,7560.2,7711.7,7864.7,8010.8,8140.2,8233.2,8334.8,8443.3,8574.6,8697.5,8795.6,8924,9044.5,9123.2,9274,9428.8,9580,9715.8,9811.5,9916.7,10031,10124,10171
