c,b,c,c,c,c,b,b,b,b,b,e,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,d,k,l,b,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2712.7,2858.2,2996.1,3129.8,3252.4,3383.3,3533.6,3675.1,3827.1,3966.7,4124.2,4277.1,4429.8,4566.3,4696.7,4824.8,4969.1,5103.8,5240.1,5375,5513.4,5654.2,5800.8,5884.2,5981.5,6110.5,6201.1,6322.9,6449.1,6579.8,6692.5,6763,6912.3,7039.3,7183,7329.2,7414.9,7515.9,7644.2,7733.3,7858.6,7985.8,8111.8,8226.4,8299.2,8453.9,8591.6,8705.7,8829.3,8971.5,9115.6,9247.7,9397.6,9551.5,9702.2,9786.2,9890.9,10019,10111,10234,10360,10493,10613,10686,10838,10971,11105,11230,11375,11517,11649,11775,11896,11967,12149,12274,12410,12531,12648,12720,12880,13010,13161,13314,13465,13551,13655,13781,13875,13999,14126,14263,14382,14455
2746.4,2902.4,3041.1,3174,3300.2,3434.9,3602.1,3747.8,3897.7,4038.4,4192.2,4341.8,4503.4,4630.2,4762.9,4889.8,5032.8,5170.8,5308.3,5443.4,5588.4,5733.9,5862,5952.5,6052.1,6162.8,6293.9,6415.3,6510.8,6632.7,6752.5,6835.5,6971.2,7117,7260.7,7388.6,7482.8,7582.3,7697.8,7827,7952.1,8047.2,8166.5,8287.8,8370.8,8514.5,8631.8,8751.4,8889.8,9033,9184.8,9327.8,9479,9629.1,9762.2,9857.5,9958.4,10073,10199,10324,10424,10552,10675,10754,10902,11016,11149,11295,11439,11580,11715,11832,11956,12038,12195,12334,12453,12586,12713,12791,12942,13091,13244,13394,13530,13620,13726,13837,13967,14096,14188,14318,14445,14527
