g,c,c,c,c,c,b,b,b,b,c,b,b,b,b,b,b,b,e,e,e,e,e,g,b,b,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,h,b,e,j,j,j,j,i,l,l,d,f
2305.2,2464,2619.1,2744.9,2901.1,3061.5,3252,3400.5,3544,3691.8,3873.8,4050.6,4221.6,4381.5,4528.5,4680,4822.2,4995.9,5153.6,5305.6,5460.1,5600.8,5747.5,5891.3,6054.5,6166.4,6302.9,6446.1,6588.9,6736.2,6872.5,7016.4,7176,7327.3,7476.1,7631.2,7768.5,7920.2,8044.6,8192.6,8341.8,8489.6,8641.7,8729.2,8828.2,8958.2,9050.1,9178.2,9306.5,9438.9,9563,9633.4,9784.7,9916.2,10039,10112,10268,10393,10516,10588,10752,10895,11037,11159,11292,11441,11583,11734,11885,11971,12075,12203,12296
2333,2501.2,2651.1,2783.8,2949.6,3110.6,3293.9,3469.1,3614.8,3767.6,3943.3,4127.1,4297.5,4450.8,4590.1,4749.5,4894.2,5059,5218,5375,5526.4,5658.4,5811.8,5943.3,6105.5,6240.8,6372.7,6518.7,6666.5,6810,6949.9,7093.7,7239.7,7390.6,7543,7699.5,7832.3,7983.8,8124,8273.8,8421.4,8570.8,8705.8,8800.9,8898.2,9012.2,9145.4,9272.6,9368.1,9494.4,9620.4,9702.1,9846.8,9973.3,10099,10182,10331,10454,10578,10657,10815,10934,11083,11223,11377,11523,11666,11815,11947,12040,12146,12256,12336
