g,c,c,c,c,c,c,c,c,c,c,g,e,e,e,e,g,b,b,b,b,b,b,b,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,c,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,g,b,e,e,g,c,b,e,g,b,c,b,b,b,b,b,b,b,c,c,c,e,e,e,e,j,j,j,i,l,l,d,f,f
1996.5,2154.9,2316.9,2456.8,2623.6,2766.4,2909.6,3184.1,3383.8,3541.5,3722.3,3908.2,4068.4,4232.4,4380.2,4546.5,4747.7,4911.1,5070.8,5217.7,5384.6,5526.3,5681.3,5867.2,6023,6171.9,6324.4,6471.5,6623.8,6771.1,6919.6,7074.5,7162.3,7265.6,7397.2,7490.4,7614.4,7743.5,7880.2,7997.6,8070.1,8227.3,8358,8514.8,8600.9,8705.4,8837.6,8929,9058.2,9234.7,9365.3,9514.6,9658.1,9805.2,9937.6,10094,10250,10337,10442,10570,10665,10789,10916,11053,11173,11245,11411,11538,11670,11785,11856,12018,12166,12348,12511,12635,12789,12937,13073,13221,13370,13603,13745,13865,13974,14114,14264,14407,14554,14702,14851,14995,15142,15304,15454,15592,15727,15868,16005,16148,16294,16451,16536,16639,16769,16863,16996
2023.2,2193.7,2355.3,2504.7,2664.6,2814.2,2967.1,3237.9,3437.8,3603.5,3775.8,3959.4,4127.4,4293.1,4442.6,4603.6,4794.2,4966.4,5137.2,5294.9,5455.2,5598.8,5753.1,5936,6091.7,6241,6387.3,6535.3,6691.1,6851.7,7001.7,7134.2,7234.1,7333.1,7449.7,7583.3,7706.8,7804,7936.4,8061.5,8140.6,8291.5,8445.1,8579.9,8669.2,8777.1,8890.9,9027.5,9121.9,9281.8,9433.4,9577.6,9727.5,9875.9,10020,10175,10312,10410,10513,10626,10757,10883,10978,11112,11239,11317,11467,11580,11728,11849,11930,12080,12205,12379,12552,12703,12858,12980,13128,13291,13434,13645,13801,13902,14041,14191,14342,14480,14629,14776,14922,15064,15209,15344,15529,15653,15789,15932,16086,16230,16376,16509,16607,16712,16824,16956,17049
