g,c,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,g,b,e,h,c,e,e,j,j,i,l,l,d,f,f,i,d,k,l
3063.3,3243.1,3373.8,3508.3,3654.9,3787.1,3941.8,4095.8,4253.6,4397.7,4542.9,4695.9,4859.7,5006.2,5154.4,5308.1,5446.1,5588.9,5733.7,5882.3,6036.9,6177.6,6326.1,6485.4,6570.4,6674.8,6797.9,6890.6,7013.4,7140.2,7273,7398.4,7461.9,7641.7,7760.9,7921.4,8067.6,8205.2,8349,8500.8,8583.8,8686,8816.8,8908.5,9031.7,9161.1,9296.9,9413.3,9484.1,9640.7,9779.9,9893,10012,10083,10245,10386,10533,10673,10824,10910,11011,11140,11232,11357,11486,11646,11782,11913,12051,12181,12331,12472,12607,12759,12909,12994,13096,13224,13317,13442,13570,13706,13826,13899
3100.1,3267.6,3415.2,3547.5,3700.5,3846.1,4009.8,4165.5,4322.9,4469.1,4612.9,4765.8,4930.8,5069.2,5214.9,5371.5,5522.3,5650,5796.9,5945.5,6103.5,6256.2,6402.6,6542.5,6639.8,6738.9,6850.2,6982.8,7105.8,7201.1,7328.1,7450.7,7529.6,7686.1,7822,7986,8131.3,8284.3,8427.2,8559.2,8654,8755.4,8869.4,9000,9126.5,9220.9,9350.2,9477,9554,9697.2,9816.8,9948.3,10073,10152,10309,10464,10613,10753,10884,10977,11079,11190,11324,11450,11546,11693,11830,11976,12089,12204,12397,12539,12686,12840,12969,13063,13165,13279,13409,13538,13633,13762,13890,13964
