g,c,b,c,c,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f
1998.6,2145.9,2285,2439.4,2579.2,2711.5,2875.6,3018.4,3165.5,3326.5,3496.6,3649.2,3797.1,3951.8,4091,4221.2,4357.7,4506.8,4655.3,4808.1,4955.4,5037.6,5137.5,5266.9,5359.5,5485,5611.3,5743.3,5860.6,5928.9,6101.5,6239.6,6388.8,6539.7,6623.9,6724.2,6848.8,6940.4
2038.1,2177.8,2322.6,2479,2627.3,2777.8,2941,3087.8,3238.6,3398.1,3559.3,3718.2,3860.3,4024.9,4150.4,4280.6,4419.3,4581.1,4733.8,4888.4,5011.1,5107,5208.3,5321,5454.6,5580.5,5673.1,5799.8,5917.5,6000.6,6170.1,6321.2,6468.4,6599.5,6691.9,6793.2,6903,7031.2
