c,c,c,c,c,c,c,c,b,b,b,g,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,g,d,k,l,e,g,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,c,e,h,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l
2185.6,2350.7,2499.9,2662.6,2825.6,2984.3,3132,3299.8,3454.4,3614,3757.5,3982.5,4150.6,4295.1,4454.3,4599.6,4733.2,4862.3,5022.8,5173.9,5316.1,5463.9,5611.9,5765.2,5850,5951,6080.9,6171.3,6292.8,6390.9,6553.2,6676.2,6744.7,6903.9,7042.2,7234.4,7369.6,7510.6,7648.1,7787.4,7923,8069.8,8217.4,8359.5,8503.2,8641.6,8805.9,8951.1,9090.5,9231,9370.4,9517.7,9643.7,9786.7,9934.6,10082,10226,10312,10412,10540,10628,10753,10877,11015,11129,11201,11372,11508,11634,11749,11863,11936,12091,12229,12348,12498,12647,12796,12919,13060,13196,13338,13495,13583,13680,13809,13901,14025,14154,14290,14404,14477
2206.3,2382.8,2541.2,2702.5,2869.3,3037.6,3198.2,3367.7,3525.3,3682.3,3831.6,4026,4204.2,4363,4516.9,4660.9,4800.6,4938.5,5085.5,5233.7,5396.5,5544.2,5693.3,5825,5917.6,6022.7,6132.1,6264,6385.3,6482.2,6607.9,6715.7,6794.6,6964.5,7102.5,7284.6,7439.3,7580.3,7716.9,7873,7993.9,8142.4,8287.8,8431.3,8580.4,8709.8,8869.7,9009.2,9153.7,9293.9,9433.5,9580.2,9721.4,9865,10014,10160,10287,10378,10480,10590,10722,10845,10943,11069,11191,11269,11426,11568,11674,11801,11924,12003,12152,12275,12375,12562,12690,12837,12983,13122,13257,13417,13557,13650,13751,13864,13994,14120,14216,14345,14465,14544
