g,g,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e
3515,3657.6,3829,3980.1,4122.8,4276.7,4416.5,4553.9,4698.2,4842.5,4969.4,5117.8,5203.9,5302.2,5422.9,5513.7,5633.6,5755.4,5885.9,5996.2,6070.6,6224.4,6355.3,6500.8,6662.6,6805.7,6935.3,7083.2,7218,7351.3,7498.1,7639,7723,7819.3,7948.4,8039.8,8164.6,8287,8420.7,8535.2,8605.2,8756.4,8879.5,8996,9068,9221.4,9350.1,9494.6,9642.6,9724.3,9824.1,9952.7,10044,10170,10296,10426,10542,10615,10757
3555.2,3701.2,3880,4050,4182.9,4338.1,4486.6,4623.8,4761.6,4916.9,5044.7,5174.3,5266.5,5369.5,5478,5602.7,5725.8,5817.8,5940.7,6054.3,6135,6286,6434.1,6584.7,6696.5,6856.9,7002.4,7145.2,7282,7426.1,7574.2,7697.7,7789,7888.2,7997.2,8135.2,8257.8,8347.6,8474.1,8593.9,8677,8819.1,8936.8,9062.4,9135.2,9281.8,9429.8,9571.9,9702,9794.5,9892.5,10010,10136,10266,10358,10480,10601,10682,10898
