c,c,c,b,c,c,b,b,b,b,b,b,b,b,b,h,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,b,e,h,b,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,e,d,k,l,g,g,b,b,b,b,b,b,b,b,b,b,c,g,g,g,g,b,e,i,h,b,g,h,d,k,l
90.312,2183.2,2343.4,2472.1,2632.5,2777,2938.7,3067.4,3210.9,3366.9,3547.7,3737.7,3905.1,4026.2,4168.1,4338,4476.2,4617.1,4776.1,4925.8,5050.6,5192.2,5336.3,5484.8,5567.9,5668.5,5794.4,5887.1,6011.2,6137.9,6270.7,6384.1,6456.8,6615.8,6745.7,6882.9,7009.9,7152.5,7290.1,7433.9,7577.8,7730,7815.1,7915.3,8040.7,8134.2,8259.8,8385.4,8518.7,8631.2,8705.2,8863.1,9004.2,9134.4,9253.5,9319.4,9515.3,9654.1,9790.4,9925.7,10045,10166,10303,10443,10582,10722,10852,11007,11097,11192,11318,11411,11535,11658,11789,11905,11977,12154,12272,12417,12547,12666,12739,12903,13067,13207,13341,13478,13623,13764,13912,14048,14181,14311,14450,14600,14738,14911,15068,15227,15401,15521,15660,15824,16112,16254,16389,16529,16663,16723
128.44,2206,2383,2514.1,2678.5,2822,2989.2,3130.1,3275.2,3435.4,3609.4,3802,3948.6,4090.2,4234.7,4372.6,4539.9,4676.8,4843.5,4988.9,5127.9,5271.3,5414.3,5541.6,5633.9,5732.1,5845.6,5980.4,6101.2,6197.2,6324.5,6445.6,6522.7,6678,6785,6929.4,7074.8,7221.5,7369.1,7510.5,7659.2,7789,7883.6,7981.9,8099.1,8226.7,8353.8,8449.5,8570.6,8697.2,8775.4,8923.3,9045.2,9190.7,9314.3,9392.6,9555.4,9705.2,9850.6,9969.7,10088,10231,10366,10507,10648,10790,10934,11065,11158,11264,11368,11506,11628,11721,11841,11967,12046,12193,12340,12483,12606,12728,12808,12949,13107,13258,13402,13548,13687,13835,13978,14113,14247,14384,14525,14663,14780,14950,15111,15268,15444,15583,15725,15869,16159,16307,16425,16571,16716,16780
