c,c,c,c,c,c,c,b,b,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,c,b,b,b,b,b,b,b,b,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,c,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g,g,g,b,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2617,2774.8,2920.4,3067.6,3228.3,3364.4,3555.8,3716.4,3880.7,4038.3,4203,4350.7,4518,4692.9,4853.2,5011.9,5181.2,5333.8,5478.7,5632.9,5783.4,5936.6,6084.9,6229.4,6380.8,6531.8,6671.4,6817.8,6978.7,7140.5,7280.7,7426.7,7581.5,7726.8,7874.2,8016.8,8170.5,8258.5,8359.2,8485.4,8577.1,8701.3,8826.8,8958.7,9074.3,9148.1,9306.2,9436.9,9580,9729.9,9881.7,9966.3,10071,10197,10288,10418,10544,10679,10796,10868,11035,11165,11278,11406,11553,11695,11834,11980,12133,12279,12366,12467,12595,12689,12814,12942,13078,13195,13265,13488,13628,13779,13923,14083,14217,14357,14484,14622,14765,14896,15058,15197,15346,15501,15656,15741,15843,15968,16062,16186,16319,16459,16577,16649
2646.7,2813.7,2951,3110.1,3276.6,3429.6,3606.9,3778.7,3937.5,4101.3,4272.9,4418.8,4590.2,4763.1,4927,5080.4,5241.3,5395.5,5543.4,5695.2,5845.6,6000.6,6142.9,6293.8,6443.4,6600.1,6741.3,6893.2,7051.3,7210.2,7357.5,7504.9,7644.6,7791,7938.3,8094,8227.3,8326.8,8425.3,8534.8,8668.5,8791.5,8891.2,9013.4,9134.4,9212,9367.1,9516.5,9658.6,9808.8,9944,10034,10135,10245,10387,10509,10607,10734,10857,10937,11095,11198,11325,11468,11620,11756,11910,12060,12215,12341,12435,12536,12651,12783,12907,13006,13131,13250,13333,13520,13665,13822,13968,14134,14277,14395,14538,14685,14829,14974,15122,15273,15426,15580,15719,15810,15910,16021,16154,16281,16378,16515,16638,16719
