c,g,g,e,e,e,e,e,j,j,i,l,l,b,b,b,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,d,k,l,b,e,h,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,e,h,g,g,g
2523.1,2694.7,2888.3,3029.1,3184,3330.7,3474.7,3619.8,3760.2,3910.8,4061.8,4144.8,4243,4435.3,4560.7,4702.6,4838.3,4992.1,5128.2,5270.4,5423.1,5565.9,5708.2,5843.9,5983.7,6121.1,6270.1,6416.7,6496.9,6594.8,6719.8,6809,6947.8,7096.5,7218,7359.7,7502.8,7631.4,7763.8,7896.7,8037.8,8181.1,8264.2,8361.5,8485.4,8574.9,8692.4,8813,8939.5,9046.1,9112.3,9266.4,9388.3,9496.5,9566.9,9715.9,9846.8,9952.6,10063,10133,10305,10425,10557,10694,10812,10955,11095,11240,11385,11539,11621,11721,11847,11937,12058,12186,12318,12428,12498,12660,12784,12930,13075,13202,13337,13504,13649,13812
2556.5,2736.7,2934,3093.7,3247.4,3398.8,3533.6,3695.7,3838.7,3987.2,4118.5,4212.4,4312.5,4482.3,4628.3,4766.3,4909.8,5058.8,5195.4,5342.4,5503.8,5629.9,5773.5,5905.8,6048.8,6197.7,6347.9,6473.6,6564.8,6664.9,6778.3,6898.6,6985.9,7137.6,7282,7422.4,7565.3,7697.8,7827.8,7974.8,8117.3,8241.9,8331,8431.5,8539.9,8665.7,8783.3,8876.1,8988.5,9107,9185.1,9327.4,9447.3,9555.7,9638,9779.4,9885.3,10010,10123,10202,10348,10486,10599,10738,10875,11022,11174,11321,11469,11600,11690,11787,11898,12030,12153,12249,12372,12490,12569,12721,12831,12969,13119,13263,13380,13545,13698,13855
