c,c,c,b,b,c,c,g,g,c,g,g,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,e,e,j,g,h,g,g,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,g
4111.5,4260.2,4556.5,4710.6,4890.9,5063.2,5236.6,5418.8,5638.6,5784.4,5968.9,6156.5,6291.8,6449.8,6601.4,6747.8,7072.6,7211.5,7348.1,7479.6,7618.7,7765.1,7899.3,8045.8,8191,8355.2,8536.6,8800,8948.3,9092.5,9242.8,9400.8,9549.3,9691.4,9847.1,9995.4,10126,10266,10416,10559,10702,10852,10941,11039,11165,11256,11381,11508,11639,11757,11829,11984,12115,12239,12306,12468,12598,12744,12894,13050,13137,13241,13367,13461,13590,13719,13853,13973,14043,14213,14344,14496,14652,14783,14906,15050,15190,15324,15476,15624,15776,15860,15963,16096,16191,16318,16448,16582,16706,16776,16988,17137
4138.3,4295.7,4584.3,4761,4939.4,5085.8,5271.7,5463,5683.6,5825,6018.3,6201.7,6353.2,6510.4,6663.3,6807.1,7120.5,7259.3,7399.4,7543.7,7684.9,7829.3,7976.7,8113.7,8259.4,8418.1,8566.1,8881.1,9011.3,9164.2,9306.8,9442.8,9585.3,9732.3,9911.8,10059,10189,10339,10485,10636,10783,10909,11003,11103,11217,11347,11471,11570,11700,11815,11894,12041,12170,12293,12372,12531,12675,12819,12973,13108,13203,13306,13424,13555,13680,13780,13908,14030,14108,14272,14386,14543,14691,14816,14972,15113,15255,15400,15548,15704,15831,15928,16033,16145,16287,16414,16507,16637,16757,16836,17028,17181
