c,c,c,c,c,b,b,b,b,b,b,b,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,b,e,e,e,h,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,c,e,h,c,b,b,c,g,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f
2392.4,2521,2641.9,2786.5,2919.1,3054.2,3187.3,3323.7,3459.1,3591.7,3750.5,3902.8,4050.2,4199.5,4336.7,4471.5,4604.8,4754.4,4838.4,4941,5068,5158.7,5279,5404.9,5540.1,5654,5724.4,5878.4,6005.9,6153.1,6300.5,6450.2,6534.7,6638.6,6769.5,6860.8,6985.2,7108.5,7240.8,7355.1,7427.2,7579.4,7714.5,7864.3,7948.5,8047.8,8176.3,8269.6,8393.8,8522.8,8655,8767.9,8839,8997,9226.7,9351.4,9491.2,9625.9,9760.1,9891.4,10021,10161,10288,10440,10587,10734,10819,10922,11046,11137,11262,11388,11524,11637,11707,11863,11991,12118,12243,12380,12499,12646,12777,12927,13098,13279,13410,13567,13720,13864,14008,14149,14295,14440,14588,14672,14777,14907,14998,15121
2436.7,2564.5,2689,2835.7,2973.2,3118.1,3257.2,3393.7,3527.9,3668,3822.6,3972.5,4113.1,4263.4,4401.9,4540.2,4683.5,4815,4908.6,5012.9,5116.4,5252.7,5377.5,5467.6,5599.4,5712.3,5794.7,5940.7,6085.7,6232.4,6379.3,6510.7,6603.6,6708.8,6824.4,6951.3,7079.2,7171.9,7297.9,7417.5,7497.9,7638,7794.1,7925.7,8018.3,8121,8234,8361.2,8491.2,8586.9,8708.1,8828.7,8908.1,9063.9,9274.2,9414.4,9559.1,9692.9,9801.3,9942.1,10086,10228,10365,10519,10667,10794,10889,10993,11103,11232,11359,11454,11581,11701,11781,11918,12031,12167,12308,12421,12565,12711,12845,12972,13139,13333,13482,13643,13784,13929,14072,14231,14373,14519,14649,14742,14847,14959,15092,15170
