g,c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,j,b,b,b,b,b,b,b,b,b,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,g,g,g,b,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,b,g,b,e,h
3062.7,3244.4,3372.2,3523.4,3649.2,3780.1,3931.2,4076.2,4216.3,4352.1,4506.2,4657.1,4807.2,4943.2,5082.5,5229.1,5378.6,5565.1,5689,5844.1,5982.2,6124.6,6285.3,6407.3,6564.9,6736.6,6874.3,7018.6,7154.8,7289.2,7423.9,7568.5,7712.8,7863.3,8008,8158,8243.7,8347.7,8473.6,8564.9,8689.1,8821.2,8953.7,9069.2,9143.4,9300.3,9428.8,9552.7,9623,9767.7,9911.7,10060,10216,10304,10406,10546,10635,10759,10890,11031,11150,11221,11405,11522,11659,11769,11889,11963,12146,12305,12467,12622,12757,12898,13030,13160,13302,13439,13568,13706,13848,13997,14153,14240,14343,14476,14568,14696,14827,14970,15083,15159,15329,15501,15656,15806,15965,16089,16249
3101.3,3279.5,3416.3,3579.1,3707.2,3853.1,3997.5,4141.3,4282.9,4416.6,4576.1,4722.5,4867.3,5007.9,5146.8,5292.6,5444.2,5615.7,5759.3,5907.7,6049.8,6194.2,6325.4,6473.2,6631.8,6784.2,6937.5,7082.2,7216.7,7353.4,7501.6,7646.2,7787.7,7942.5,8088.7,8218.3,8312,8409.7,8529.8,8656.6,8785.2,8877.7,9007.3,9127.5,9208.2,9360.1,9487,9594.9,9674.1,9831.2,9991.5,10142,10278,10370,10471,10594,10729,10855,10950,11084,11210,11290,11437,11586,11698,11821,11949,12027,12184,12342,12505,12670,12818,12940,13075,13222,13368,13506,13634,13783,13926,14075,14213,14308,14410,14525,14665,14793,14886,15022,15144,15226,15389,15536,15688,15856,16003,16145,16287
