g,g,c,c,c,b,b,b,b,b,b,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,g,g,b,e,e,e,j,i,b,b,b,b,b,b,b,b,c,b,b,b,e,e,j,i,l,l,d,f,f,i
1997.8,2151.4,2333.9,2464.3,2638.3,2738.7,2881.6,3025,3198.4,3342,3482.1,3632.8,3771.4,3912.7,4053.3,4185.2,4316.9,4471.3,4558.4,4661,4788,4879.9,4998.4,5126.6,5272.2,5394.8,5464.5,5615.1,5745.6,5896.7,6048.5,6136.9,6238.8,6368,6462.8,6585.8,6712.1,6839.9,6965.4,7030,7183.2,7313.2,7462.5,7608.2,7695.6,7796.5,7930.6,8023.4,8148.3,8277,8412.8,8532.2,8605.4,8794,8915.1,9051.7,9175.9,9299.7,9370.9,9539.5,9702.4,9850.8,9976.5,10119,10260,10405,10549,10752,10854,10980,11118,11266,11413,11558,11705,11862,12010,12156,12300,12448,12585,12729,12887,12974,13076,13206,13299,13426,13559
2032.6,2188.5,2360.2,2509.9,2678.8,2810.7,2950.8,3099.1,3264.7,3410.9,3544.5,3698.3,3830.2,3976,4116.7,4246.8,4393.6,4532.7,4624.6,4724.2,4835.6,4968.9,5093.5,5192.8,5329.4,5437.2,5512.9,5674.8,5825.2,5974,6110,6203,6307.5,6424.2,6555.4,6680.8,6773.3,6894.9,7018.4,7096.2,7243.8,7396.4,7543.9,7670.4,7766.1,7865,7981.9,8118.1,8245.8,8338.6,8468.3,8592.3,8671.1,8839.4,8975.7,9092.4,9232.5,9358.2,9438.7,9584.8,9735.2,9890,10042,10183,10329,10480,10613,10778,10912,11047,11186,11340,11490,11626,11776,11922,12080,12222,12364,12513,12650,12805,12946,13039,13145,13257,13389,13519,13613
