c,c,c,c,c,b,b,b,b,b,b,b,b,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,e,e,e,h,b,b,b,b,b,b,b,e,i,h,d,k,l,e,d,k,l,b,e,h,b,e,i,b,b,b,b,b,b,b,b,c,b,c
3892.3,4042.8,4172.3,4324.6,4452.2,4593.6,4745.2,4894.1,5038.2,5190.4,5344.8,5502.7,5684.2,5832.2,5997.5,6138.7,6270.8,6417.7,6549.3,6709.8,6798,6898.6,7034.7,7127.3,7250,7378.8,7520.3,7632.4,7706.4,7860,7994.4,8135.2,8285.3,8436.2,8522.9,8624.7,8751.4,8842.4,8969.5,9095.6,9235.4,9351.3,9423.6,9572.9,9706.8,9825.3,9895.4,10051,10185,10302,10429,10562,10705,10843,10978,11125,11250,11371,11506,11647,11778,11915,12064,12221,12358,12530,12650,12771,12836,12995,13130,13252,13326,13515,13638,13769,13902,14031,14166,14336,14462,14607,14737,14878,15016,15158,15287,15439,15467,15588
3918,4074.9,4212.2,4367.4,4515,4657.6,4809.9,4958.7,5103.2,5253.1,5412.1,5564.6,5728,5906.4,6058.9,6200.3,6332.8,6481.8,6625.3,6765.7,6860.9,6960.9,7083.7,7216.6,7342.1,7440.2,7573,7690.7,7770.4,7922.4,8067.4,8215.1,8360.9,8495,8585.9,8689.1,8802.7,8933.7,9063,9156.8,9288.7,9416.2,9488.3,9634.5,9764,9883,9962.3,10111,10220,10352,10490,10624,10771,10906,11041,11155,11295,11429,11567,11706,11842,11981,12129,12289,12423,12569,12705,12824,12900,13056,13187,13314,13393,13559,13698,13807,13942,14098,14224,14378,14527,14669,14811,14944,15085,15222,15357,15462,15503,15612
