c,c,c,c,c,c,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,c,e,i
3712.3,3893,4031,4151.4,4295.6,4439.6,4589.7,4724,4889.7,5046.8,5193,5333.5,5471.2,5600.7,5743.2,5883,6029.9,6170.9,6255.9,6356,6484.6,6578.1,6703.6,6829.1,6963.5,7078,7151.1,7302.7,7430,7576.8,7722.8,7874.2,7959.1,8060.2,8189.2,8281.2,8403.8,8528.3,8659.2,8773.6,8844.2,9002.5,9258.4,9384.3,9548.5
3745.8,3928.7,4066.7,4199.6,4334.7,4493.8,4651.8,4783.5,4955.4,5120.2,5258.8,5396.1,5547.7,5660.7,5819.2,5956.9,6111,6229.1,6321.7,6417.7,6533.7,6669.7,6797.8,6883.6,7016.4,7138.7,7217.5,7367.5,7504.8,7656.8,7801.2,7932.6,8027.4,8124.6,8241.3,8372,8496.8,8590.7,8714.3,8836.4,8912.8,9066.1,9305.5,9444.2,9599.9
