c,c,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l
1988,2106,2269.4,2429,2561.1,2736.7,2872.3,3047,3192.4,3370.8,3508.1,3659.2,3841.5,4006.3,4149.8,4288.1,4429.5,4563,4698.9,4843.6,5005.1,5152,5306.8,5392.4,5493.2,5620.1,5711.7,5837.1,5963,6100.3,6215.2,6289.1,6447.2,6583.6,6724.5,6870.2,7026,7110.7,7212.1,7340.9,7435.3,7557.6,7684.5,7821.1,7937.4,8010.5,8166.6,8291.4,8445.4,8600.1,8685.8,8788.7,8920.2,9012,9137.2,9266.3,9403.2,9521.6,9596,9755.2,9887.5,10004,10125,10197,10374,10507,10665,10751,10862,10989,11083,11211,11339,11474,11594,11669,11828,11960,12129,12245,12389,12529,12675,12818,12963,13134,13222,13324,13459,13556,13689,13819,13958,14072,14147
2024.2,2144.2,2310.9,2455,2604.8,2789.6,2944.8,3116.2,3262.8,3432.4,3580,3741.7,3910.6,4067.4,4219.7,4349.7,4493.7,4631.5,4769.2,4925.7,5084.4,5232.1,5366.8,5464.3,5564.8,5673.8,5808.8,5930.3,6027.2,6154.5,6276,6357.9,6511,6665,6803.8,6949.2,7086,7206.5,7285.8,7395.8,7527.6,7653,7751.2,7877.4,7998.5,8081.1,8231.1,8374.7,8532,8662.8,8760.4,8862,8973.7,9105.5,9232.9,9333.1,9460,9583.7,9666.4,9814.5,9932.6,10058,10188,10270,10440,10591,10725,10824,10929,11044,11178,11307,11404,11533,11659,11742,11891,12003,12169,12312,12456,12597,12742,12884,13045,13195,13293,13399,13517,13651,13787,13884,14013,14140,14221
