c,c,c,c,c,c,c,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,g,b,b,b,b,b,b,b,b,c,c,g,g,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h
1669.2,1818.1,1995.8,2246.2,2400.2,2571.1,2720.3,2877.5,3034.3,3186.8,3353.4,3517.2,3667,3824.5,3983.6,4172.6,4358.6,4529.7,4683.9,4868.4,5061.7,5225.5,5382.1,5532,5691.8,5849.1,5979.7,6118.4,6290.7,6438.8,6593,6744.8,6903.9,7048.2,7187.1,7334.2,7469.8,7611.3,7761.1,7905.2,8055.4,8200.9,8330.9,8480.1,8650.7,8788.2,8929.7,9056.7,9201.5,9344.6,9488.4,9637.3,9720.8,9814.5,9946.3,10038,10161,10287,10421,10538,10610,10764,10895,11013,11085,11239,11376,11529,11649,11801,11933,12076,12224,12370,12520,12603,12703,12834,12923,13052,13184,13319,13435,13505,13658,13800,13924,14064,14198
1697.2,1850.3,2032.8,2278.8,2429.5,2613.3,2763.7,2935.8,3106.2,3246.9,3417.8,3584.8,3740.2,3901.6,4055.2,4242.4,4421,4603,4754.7,4939.6,5132.4,5298.3,5457.5,5601.7,5756.6,5913.3,6042.7,6178.2,6353.2,6504,6654.9,6803,6946.8,7101.4,7258.6,7400.7,7542.4,7680.6,7830.1,7984.5,8127.2,8262.2,8389,8519.3,8686.5,8852.1,8997.2,9134.1,9280.3,9426.2,9569.1,9694.8,9789.1,9892.5,9998.4,10130,10254,10351,10473,10596,10675,10824,10953,11072,11152,11301,11415,11567,11708,11863,12011,12154,12301,12450,12578,12671,12772,12883,13014,13144,13246,13374,13498,13573,13718,13834,13978,14125,14240
