g,g,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,g,b,e,h,c,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,g,b,e,h,g,b,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f
3457.9,3610.6,3769.2,3904.2,4039.2,4198.8,4340.8,4485.2,4633.8,4719.3,4822.5,4948,5040.2,5164.9,5289.7,5424,5544.2,5607.3,5754.2,5882.8,6017.4,6160.3,6306,6391.2,6489.2,6618.8,6709.3,6830.8,6956.7,7088,7202.4,7273.7,7426.5,7567.1,7698.7,7820.9,7959.4,8094.7,8227.1,8374,8516.6,8664.8,8749.9,8848.1,8972,9061.9,9183.3,9312.2,9446.5,9562.5,9631.8,9786.6,9913.3,10034,10106,10263,10398,10543,10698,10821,10951,11065,11195,11336,11474,11600,11747,11900,11985,12088,12215,12307,12431,12557,12692,12816,12886,13094,13233,13360,13498,13661,13842,13973,14119,14329,14473,14608,14759,14911,15061,15205,15343,15496,15648,15734,15835,15977,16067,16192,16320,16461,16580,16652,16804,16934,17050,17123,17283,17426,17573,17733,17820,17925,18051,18146,18274
3504.5,3680.6,3842.5,3965.2,4116.8,4276.5,4417.6,4565.8,4697.4,4788,4890.2,5001.9,5134.8,5257.9,5354.9,5477.8,5597.8,5677.5,5819.3,5960.8,6097.5,6240.5,6367.8,6459.7,6560,6676.4,6803.9,6925.2,7028,7144.9,7262.5,7342.4,7490.7,7609.2,7743.7,7882.5,8027.1,8156.8,8307.4,8453.5,8598.8,8727.2,8822.7,8919.8,9028.2,9153.1,9280.2,9375.4,9501.2,9625.4,9704.5,9850.5,9972.9,10098,10178,10323,10446,10582,10742,10885,10993,11116,11258,11398,11535,11681,11828,11964,12057,12157,12270,12403,12526,12617,12748,12863,12938,13134,13283,13428,13541,13703,13886,14038,14165,14368,14542,14679,14832,14975,15132,15273,15423,15577,15711,15807,15907,16027,16159,16289,16386,16518,16645,16726,16870,16990,17107,17191,17347,17507,17652,17796,17892,17998,18102,18236,18321
