c,c,c,c,c,g,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,g,b,b,b,b,b,b,g,g,g,g,b,b,b,b,b,b,b,b,b,b,b,c,b,b,e,e,g,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,h,b,e,h,g,g,g,g,h,b,e,j,j,j,j,j,i,l,l
1681.2,1845.8,1980.6,2144.9,2332,2546.8,2739.2,2912.9,3055.5,3258.2,3419.8,3541.6,3709.1,3841,4002.2,4156,4344.2,4557.3,4715.2,4859.7,5014.9,5162.8,5311.5,5461.8,5604.3,5760.1,5897.5,6018.8,6163.5,6311.8,6461.4,6611.8,7300.1,7450.6,7608.9,7771,7915.8,8075.9,8194.9,8341,8474.1,8618,8764.4,8907.5,9054.5,9210.5,9356.6,9509,9626.6,9791.2,9931,10082,10183,10341,10484,10628,10775,10921,11011,11105,11236,11328,11450,11580,11714,11834,11903,12060,12182,12301,12374,12523,12656,12777,12848,13012,13157,13296,13420,13554,13698,13847,13995,14156,14312,14445,14568,14711,14854,15002,15142,15290,15445,15535,15635
1704.6,1889.8,2021.3,2182.2,2379.4,2590.3,2764,2953.5,3097.4,3279.4,3456,3575.8,3756,3910.4,4069.6,4230.1,4405.5,4617.3,4790.6,4921.3,5078.7,5225.2,5376.4,5524.4,5667,5804.7,5944.7,6085.9,6237.7,6384.3,6523.8,6678.8,7333,7492.2,7649.3,7815.7,7961.1,8118.4,8265.1,8411.5,8544.9,8689.3,8835.2,8983.2,9130.2,9274.7,9423.6,9548.7,9687,9839.8,9989.5,10148,10279,10417,10561,10707,10857,10978,11073,11175,11286,11419,11546,11635,11767,11890,11966,12125,12242,12359,12438,12585,12713,12835,12915,13074,13198,13342,13487,13591,13739,13893,14040,14210,14346,14486,14635,14785,14933,15075,15225,15371,15505,15603,15699
