c,c,c,b,b,g,e,e,e,e,e,e,g,b,b,b,b,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,c,e,h,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,g,b,e,e,h,b,e,h,b,b,b,b,b,b,b,c,b,b,b,b,e,e,e,e,g,h,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l
1291.3,1459.4,1861.4,1984.6,2153.7,2360.2,2513.3,2675.6,2824.8,2977.5,3129.9,3286.9,3452.8,3638.3,3775.6,3919.5,4103.1,4252.9,4384.5,4530.2,4673.7,4830.3,4969,5121.7,5275.8,5366.4,5467.8,5595.7,5690,5811.8,5943.3,6076,6196.3,6271,6434.3,6579.3,6696.8,6772.2,6934.2,7070.2,7216.6,7373.5,7526.6,7616.1,7713.4,7843,7937.3,8063.2,8191.4,8335,8457,8528.2,8682.2,8859.2,8985.4,9122,9391.8,9546.5,9696.2,9830.2,9969.1,10110,10256,10407,10557,10646,10743,10871,10964,11091,11227,11389,11538,11666,11817,11966,12104,12232,12383,12552,12669,12820,12940,13072,13262,13373,13518,13547,13671,13838,13911,14124,14269,14415,14559,14728,14923,15217,15371,15520,15655,15804,15953,16116,16202,16307,16432,16526,16656,16788,16933,17058,17125
1315.2,1497.7,1900.7,2047.2,2220.8,2404,2575.8,2734.9,2883.9,3037.9,3187.8,3349.4,3505.2,3688.8,3840.1,3980.9,4146.7,4298.2,4450.8,4598,4742.6,4893.7,5050.9,5197.8,5332.8,5430.5,5534.5,5654,5778.4,5902.1,6000.3,6132.7,6259.9,6339.9,6495,6633.1,6761.1,6836.6,6998.3,7148,7296.4,7454.8,7588.6,7681.8,7784.4,7897.1,8032.4,8157.8,8254,8385.7,8499.8,8577,8746.7,8882.1,9051.3,9163.8,9460.7,9611.6,9764.8,9893.1,10034,10189,10338,10486,10613,10708,10810,10927,11057,11188,11291,11436,11582,11730,11878,12002,12168,12298,12417,12603,12735,12862,12995,13134,13300,13435,13540,13586,13736,13881,14021,14191,14334,14481,14627,14780,14959,15284,15433,15587,15733,15883,16035,16173,16270,16371,16479,16617,16747,16843,16987,17118,17197
