c,c,c,c,c,c,b,b,b,b,b,e,e,e,e,e,e,j,j,j,b,e,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,h,b,e,h,d,k,l,b,e,g,c,c
2280.9,2426,2566.6,2711.5,2857.4,2995.2,3124.3,3283.2,3479.1,3630.5,3784.4,3948.2,4098.7,4247,4391.8,4541.9,4688,4828.9,4969.3,5124.6,5284.2,5421,5578.7,5720.3,5862.2,6005,6159,6302,6456.5,6541.2,6641.5,6768.1,6861.9,6985.1,7111.1,7246.6,7362,7432.9,7590.1,7722.5,7868.2,8021.6,8106.6,8206.3,8336.8,8428,8553,8683.3,8822.9,8945.9,9016,9168.7,9296,9444.9,9597.5,9748.4,9836.5,9935.8,10068,10160,10283,10408,10552,10653,10741,10916,11050,11216,11378,11503,11638,11759,11874,11948,12116,12246,12420,12601,12729
2306.2,2455.8,2600.8,2755.6,2908.1,3050.9,3191,3358.9,3547.8,3697.7,3850.8,4005.8,4175.2,4308.7,4452.9,4600.8,4749.8,4906.1,5048.1,5199.1,5332.7,5483.2,5640.6,5782.2,5924.6,6068,6223.8,6382,6514.1,6609.7,6709.7,6817.8,6953.8,7080.6,7174.8,7302,7427.3,7505.4,7655.4,7806.1,7950.1,8082.9,8174,8278.3,8388.6,8519.2,8647.8,8746.1,8878.2,8989.7,9065.5,9231,9377.6,9524.8,9677.3,9813.2,9908.2,10007,10123,10254,10378,10470,10606,10731,10809,10975,11090,11244,11422,11564,11680,11815,11937,12015,12148,12307,12467,12641,12774
