c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,b,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h
2334.8,2493.7,2632.4,2801.7,2955.6,3078.7,3239.4,3401.3,3545.4,3689.4,3838,3990.1,4144.9,4282.4,4426.8,4567.8,4711.2,4861.9,5014.4,5097.9,5199.5,5327.5,5417.1,5538,5665.5,5799.9,5992,6114.3,6250.8,6363.5,6477.8,6544.5,6695.9,6828.5,6972.7,7121.7,7206.3,7301.3,7430,7518.8,7638.9,7765.1,7896.3,8010.1,8081.5,8242.1,8371.9,8527.3,8693.1,8811.2,8952.2,9086.2,9240.7,9375.8,9509,9660.7,9744,9844.7,9968.5,10060,10180,10304,10450,10564,10636,10818,10935,11065,11184,11299,11372,11530,11667
2360.3,2528.7,2668.5,2838.9,2998.1,3146.6,3309.3,3469.4,3610.4,3757.1,3902.2,4055.2,4221.2,4342.9,4486.9,4633.9,4785.9,4942.8,5073.7,5162.8,5266,5379.4,5507.3,5630.7,5727.2,5843.7,6037.3,6178,6291.9,6414.1,6529.4,6610.2,6754.4,6908.6,7054.8,7180.8,7276.7,7370.2,7480.3,7608.1,7732,7825.9,7973.2,8069.3,8149.7,8302.6,8411.4,8567.5,8736.3,8874.8,9015.1,9149.1,9305.4,9439.1,9589.5,9721,9813,9913.9,10027,10151,10270,10365,10503,10624,10701,10856,10994,11110,11240,11365,11438,11590,11705
