c,c,c,c,c,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,g,b,b,b,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,d,k,l,b,e,h,b,b,b,g,g,g,e,b,b,b,b,b,b,b,e,e,e,e,j,j,j,g,g,g,d,b
2497,2621.2,2745.5,2898.1,3034.2,3178.5,3354.7,3523.5,3632.3,3775.6,3947.6,4118,4279.4,4415.3,4578.1,4724.8,4860.9,5015.2,5158.2,5295.5,5431,5587.6,5852.4,5993.3,6132.1,6280.1,6424.2,6593.3,6709.9,6885.7,7034.8,7184.6,7323.4,7467.4,7613.5,7702,7800,7924.3,8013.8,8136,8259.8,8397.2,8509.5,8578,8733.6,8860.1,8980,9052.8,9199.6,9331,9470.2,9593.8,9735.3,9866.3,10011,10159,10299,10448,10532,10633,10761,10850,10975,11104,11239,11362,11434,11592,11722,11867,11997,12133,12247,12369,12439,12636,12763,12910,13059,13219,13359,13518,13698,13861,14005,14155,14279,14417,14566,14715,14865,15007,15169,15311,15455,15592,15731,15876,16027,16357,16509,16679,16879,17011
2518.5,2659.4,2790.3,2939.5,3080.5,3220.1,3385.4,3551.8,3696.4,3839.2,4011.8,4187.2,4309.8,4477,4643.6,4787.4,4922.4,5077.9,5217.9,5361.9,5494.5,5641.5,5921.9,6060,6197.9,6344.2,6493.3,6635.4,6783.5,6938.9,7101.2,7248.4,7399.7,7544.9,7669.9,7763.6,7863.3,7972.5,8102.1,8229.5,8319.2,8450.9,8569.9,8647.3,8795.3,8921.4,9037.5,9119,9260.2,9371.4,9513.7,9656.4,9802.2,9942.3,10087,10237,10380,10506,10600,10700,10809,10940,11072,11165,11294,11421,11501,11649,11756,11913,12059,12169,12301,12407,12486,12687,12825,12947,13114,13282,13425,13558,13744,13925,14066,14215,14348,14486,14634,14782,14928,15079,15233,15373,15524,15660,15806,15953,16094,16392,16557,16719,16921,17034
