g,c,c,c,c,c,g,g,b,b,b,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,b,b,b,b,b,b,b,b,b,b,b,b,g,h,g,g,e,j,j,j,j,i,l,l,d,f,f,i,g,b,e,e,e,e,e,j,j,i,l,l
1998,2149.1,2334.3,2477.3,2777.7,2933.4,3446.3,3604.3,4867,5033.7,5205,5336.9,5505.3,5649.8,5816.5,5982.9,6097.6,6277.6,6390.8,6536.4,6677.3,6821.1,6965.5,7113.7,7260.8,7412.6,7568.7,7718,7803.9,7907.7,8034.2,8127.8,8252.7,8383.6,8525.1,8643.7,8716.6,8909.3,9091.6,9217.7,9348,9487.6,9626.1,9770.1,9918.7,10066,10217,10361,10512,10657,10829,10960,11146,11293,11442,11593,11736,11886,12026,12178,12335,12422,12523,12652,12746,12876,13005,13178,13344,13458,13604,13757,13914,14051,14198,14356,14512,14597,14703
2030,2184.1,2371.9,2512.8,2832.7,2971.1,3486.5,3642.6,4913.6,5098.2,5252.1,5401.3,5549.5,5707.1,5876.8,6025.4,6152.7,6309.8,6456.2,6602.2,6742.7,6896.1,7023.7,7174,7335.6,7490.6,7648.1,7778.6,7875.1,7973.9,8086.2,8217.2,8346.3,8444.8,8575.2,8702.5,8781.2,8959.2,9131.3,9274.3,9415.1,9556.5,9690.9,9842.4,9986.7,10138,10280,10431,10576,10726,10871,11003,11173,11330,11491,11661,11816,11964,12104,12260,12394,12489,12592,12703,12833,12968,13064,13217,13378,13522,13673,13823,13978,14116,14279,14436,14574,14666,14773
