g,c,c,c,c,c,b,b,b,b,b,b,b,c,e,e,e,e,e,g,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,g,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,c,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,c
3016.3,3168,3310.2,3466.2,3602.8,3756.4,3902.4,4046.8,4196.5,4345,4483,4644.4,4785.5,4969.3,5107.1,5261.5,5405.6,5553.6,5691.2,5765.7,5836.2,5978.8,6132,6276,6417.3,6501,6600.2,6726.7,6818,6940,7066.7,7196.9,7312.3,7378.8,7535.5,7670,7818.4,7966.4,8111.8,8198.2,8299.9,8425.6,8518.2,8647.5,8771.8,8909.6,9060.5,9182.4,9325.1,9463.6,9594.1,9742.1,9897.5,10051,10138,10237,10367,10459,10582,10713,10849,10945,11032,11240,11362,11486,11635,11762,11904,12013,12129,12200,12353,12478,12626,12774,12925,13012,13110,13242,13335,13459,15388
3047.2,3197.4,3352.7,3503.6,3646.5,3796.9,3975,4119.2,4266.2,4413.9,4555.7,4715.1,4860.3,5034.4,5179.3,5337.1,5468.8,5625.6,5758.4,5791.6,5901.8,6056.1,6210.8,6350.5,6476.4,6570.3,6671,6778.8,6907.8,7037.5,7130.9,7252.9,7372.7,7451.5,7598.1,7749.7,7897.7,8048.5,8174.2,8266.3,8371.7,8477.4,8612.7,8734.8,8821.4,8961.5,9103.1,9253.7,9388.5,9530.8,9675,9823.7,9977.8,10112,10208,10308,10422,10553,10680,10768,10898,11024,11104,11281,11424,11525,11675,11826,11945,12070,12189,12273,12415,12557,12707,12854,12989,13082,13178,13294,13428,13510,15418
