c,c,c,c,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,k,h,g,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,b,e,h,g,g,g,b,e,h,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i
1531.1,1657.1,1811,1986.9,2961.9,3128.3,3267,3398.3,3544,3681.4,3826.7,3988.5,4145.1,4292,4468.3,4630.8,4786.7,4942.3,5099,5251.5,5399,5531,5683.9,5826.2,5979.2,6122,6267.6,6352.8,6454.8,6580.9,6672.5,6794.8,6924.7,7061.2,7173,7244.6,7405.2,7537,7728.7,7880,8036.8,8157.1,8295.8,8429.2,8578,8725.4,8870.1,8954.7,9056.7,9189.7,9280.9,9403.8,9528.7,9655.3,9770.4,9843,10004,10128,10240,10355,10426,10641,10760,10901,11045,11184,11327,11464,11592,11729,11871,11996,12138,12279,12417,12556,12706,12858,13012,13098,13198,13327,13417,13545,13673
1558.1,1687.5,1856.2,2029.7,2994.4,3160.9,3289.8,3445.3,3597.9,3750.5,3896.1,4050,4212.9,4367.5,4536.9,4688.9,4849.2,5004.5,5160.9,5314.6,5474.3,5592,5744.6,5903.9,6054.7,6198.8,6326.7,6421,6524.2,6633.1,6762.8,6886.8,6984.2,7113.5,7233.2,7312.8,7465.3,7597.9,7756.2,7917.8,8076.7,8219.3,8358.8,8507.9,8656.2,8803.4,8930.7,9022.6,9125.2,9237.9,9369.2,9494.9,9592.2,9710.1,9830.7,9910.6,10056,10170,10292,10412,10491,10680,10824,10944,11085,11228,11356,11512,11654,11768,11915,12056,12204,12343,12496,12639,12788,12937,13071,13166,13267,13380,13512,13636,13731
