c,c,c,c,c,b,b,b,b,b,g,g,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,d,h,g,g,b,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,g,g,g,h,b,e,h,c,e,h,d,k,l,e,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l
1976.4,2112.8,2256.4,2409.5,2560.8,2712.9,2889.2,3067.4,3256.4,3401.4,3580.7,3769.6,3954.2,4096.3,4248.2,4400.2,4544.4,4692.1,4840.4,4990.2,5139.1,5302,5458.2,5603.8,5751.8,5888.8,6025.1,6164.8,6297.2,6430.7,6573.6,6724.8,6810.8,6918.8,7046.4,7138.2,7267.5,7397.8,7537.1,7656.7,7730.5,7880.4,8013.1,8134.2,8205.2,8366.5,8495.8,8615.5,8688.4,8846.3,8979.1,9118.2,9268.6,9411.9,9562.8,9686.3,9832.2,9971,10102,10230,10383,10528,10670,10813,10963,11051,11154,11282,11374,11498,11626,11760,11877,11951,12231,12372,12498,12648,12798,12936,13073,13209,13343,13465,13602,13734,13848,13977,14048,14199,14324,14446,14520,14681,14814,14962,15113,15263,15409,15496,15600,15736,15830,15957,16084,16225,16343,16415
2005.2,2157.5,2297.5,2452,2609,2776.8,2934.6,3129.5,3290.2,3475.2,3625.8,3812.3,4002.1,4142.5,4295.8,4464.4,4615.2,4763.6,4913.2,5069.2,5212.5,5368,5521.6,5664.3,5814.4,5950.1,6086.5,6228.9,6359,6507.9,6651.1,6784.9,6878.9,6981.5,7101.7,7230.1,7358.1,7461.5,7589.2,7716.8,7795.2,7941,8069.2,8191.8,8277,8426.7,8552.1,8673.4,8756.6,8907.2,9035,9158.4,9307.2,9456.6,9604.9,9745.7,9894.9,10032,10168,10309,10459,10605,10751,10895,11023,11118,11222,11339,11466,11593,11686,11817,11938,12017,12280,12418,12525,12691,12833,12968,13127,13265,13389,13514,13661,13775,13904,14015,14096,14260,14383,14506,14588,14742,14894,15042,15197,15341,15473,15564,15669,15784,15924,16051,16143,16281,16403,16487
