c,c,g,b,c,c,c,c,c,b,b,b,g,e,e,e,e,e,g,c,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,b,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,g,g,g,h,b,e,e,d,i,g,b,e,h,d,k,l
418.22,563.16,1998,2120.3,2290.1,2441,2595.7,2737.1,2920.5,3054.6,3205.8,3357,3873.7,4041.1,4190.2,4345.2,4498.7,4653.5,4808.1,4945,5067.3,5199.8,5314,5499.8,5642.3,5792.1,5936.8,6055.5,6219.4,6387,6530.5,6678.6,6822.7,6970.1,7104.1,7244.9,7372.8,7506.5,7653,7801,7891.7,7990.2,8118.2,8210.4,8336.2,8469.7,8603.6,8720.6,8793.2,8949.8,9077.2,9196.7,9268.7,9452.4,9575,9716.1,9834,9995,10143,10294,10443,10592,10677,10781,10908,10997,11128,11262,11409,11527,11600,11756,11885,12002,12122,12195,12396,12560,12716,12856,12955,13110,13260,13404,13581,13728,13866,13994,14139,14267,14389,14461
458.94,604.66,2029.1,2153.7,2326.9,2480.5,2638.6,2799.8,2973.5,3126.8,3271.8,3417.4,3918.5,4109.2,4250.9,4405.2,4559.9,4713.8,4851.4,4986.1,5133.4,5267.5,5411.3,5574.2,5715.8,5864.8,6007.5,6148.6,6295.8,6455.9,6605.2,6748.8,6886.2,7032.6,7167.4,7310.8,7438.5,7584.4,7731.5,7863.4,7958.6,8059.3,8171.6,8307.6,8429.9,8530.3,8658.8,8780.9,8859.6,9009.7,9133.3,9253.9,9335.1,9494.6,9633.8,9779.7,9928.7,10075,10223,10372,10520,10652,10746,10853,10961,11096,11226,11321,11464,11587,11670,11819,11924,12057,12181,12263,12438,12606,12768,12898,13031,13172,13319,13458,13610,13769,13916,14051,14179,14322,14449,14528
