c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,i,c,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,d,k,l,e,h,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
2742.2,2904.9,3035.5,3157.8,3312.9,3452.2,3606.2,3757.4,3891.5,4055.1,4203.9,4346.2,4491.1,4624.7,4766.2,4908.9,5055.3,5206.5,5349.8,5442.5,5539.8,5669.8,5760.2,5881.1,6006.2,6141.6,6255.1,6325.4,6482.1,6645,6738.1,6869.6,7005.5,7151.8,7303.7,7456.8,7604.1,7689.2,7792.3,7918.9,8010.2,8133.9,8261.8,8395.4,8508.2,8580.2,8732.3,8867,9012.3,9157.6,9309.6,9396.7,9497.9,9625.5,9719.5,9842.1,9970.6,10107,10226,10298,10530,10675,10801,10941,11056,11176,11248,11404,11536,11676,11817,11966,12117,12257,12408,12561,12649,12751,12883,12976,13105,13234,13370,13488,13560
2780.4,2946.8,3074.8,3226.3,3384.6,3530.1,3654.9,3822.2,3954.1,4124.5,4286,4406.7,4551.4,4688.8,4835.4,4985.2,5131,5281.5,5409,5504.5,5608.8,5723.4,5849.1,5972.9,6068.9,6190.8,6317.4,6395.8,6543.4,6671.7,6779.6,6932.6,7082.7,7230.1,7383.5,7534.9,7661.8,7758.9,7862.6,7973.4,8105.5,8232.8,8321.6,8449.2,8571.8,8651.2,8793.1,8943.4,9092.7,9235.2,9370.6,9466.5,9567,9682.6,9812.3,9939.6,10029,10161,10288,10364,10570,10720,10860,10989,11110,11239,11316,11463,11581,11732,11881,12029,12178,12336,12492,12621,12717,12819,12937,13072,13200,13295,13419,13550,13630
