g,c,c,c,c,b,b,b,b,c,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g
5124.3,5284.1,5420.4,5575,5714.3,5873.6,6010.9,6166,6328.8,6521.9,6643.4,6802.2,6940.8,7086.2,7251.7,7399.7,7540.3,7685.8,7821.8,7968.5,8110.6,8195.5,8293.5,8422.4,8514.5,8637.2,8764.2,8897.1,9012.4,9086.1,9239.4,9374.2,9533.2,9687.6,9770.6,9872,9999.4,10091,10215,10339,10473,10595,10665,10817,10943,11063,11132,11282,11421,11567,11675,11815,11961,12114,12264,12347,12449,12577,12669,12794,12921,13059,13174,13245,13406,13563,13708,13829,13972,14106,14245,14379,14522,14671,14755,14855,14985,15075,15203,15330,15479,15598,15673,15856
5168,5323.9,5451.7,5621.9,5770.9,5940.4,6076.8,6219.9,6393.5,6585.5,6708.3,6862.1,7001.5,7148.2,7314.7,7463.5,7600.5,7748.2,7902.3,8044.4,8168.9,8265.2,8363.7,8481.3,8603.9,8727.6,8823.2,8951.8,9070.9,9152.6,9298.1,9454.5,9615,9743.4,9837.3,9939.2,10052,10179,10304,10400,10528,10633,10715,10877,10999,11122,11203,11343,11461,11598,11738,11893,12042,12197,12323,12416,12515,12635,12759,12887,12983,13112,13235,13308,13463,13602,13750,13891,14037,14173,14309,14458,14603,14733,14826,14924,15043,15164,15293,15391,15534,15661,15734,15893
