c,c,b,b,c,g,g,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,d,k,l,g,g,b,e,h,b,e,e,e,j,j,j,i,l,l,d,f,f,b,e,h,b,e,e,e,e,d,k,l
324,487.88,642.28,805.38,969.97,1996.8,2147.3,2635.2,2758.1,2917.2,3058.7,3217.3,3383.2,3510.3,3660.1,3829.3,3968.9,4131.6,4256.8,4402.9,4544.2,4676.2,4823.8,4963.2,5107.7,5246.9,5394.6,5482.3,5579.9,5705,5797.1,5919,6045.3,6175.9,6286.8,6359.6,6508.8,6633.7,6756.9,6826.6,6979.3,7117.2,7245.4,7309.1,7468.7,7603.8,7750.3,7904.7,8049.5,8137.4,8238.3,8362.1,8451.8,8575.3,8700,8806.8,8948.7,9019.8,9176.6,9311.2,9457,9570.9,9703.4,9823.7,9939.2,10015,10175,10352,10499,10620,10765,10906,11034,11169,11305,11433,11578,11729,11881,11967,12066,12190,12281,12404,12569,12698,12830,12995,13113,13254,13404,13537,13666,13786,13856
362.72,529.19,685,859.78,995.97,2034.2,2186.5,2675.2,2825.3,2982.1,3130.2,3286.3,3432.4,3572.1,3727.3,3868.3,4030.2,4178.1,4318,4463.6,4606.9,4734.7,4886.8,5039.1,5184.5,5324.3,5449.8,5544.4,5645.6,5756.8,5886.4,6011.7,6099.2,6226,6345.2,6423.8,6568.2,6689.3,6796.9,6875.7,7038.2,7176.8,7296.7,7375.1,7530.7,7680.5,7826.4,7977.9,8105.1,8201,8301.9,8410.8,8541.8,8665.1,8758.4,8884.1,9002.3,9084.1,9238.2,9352.1,9492.1,9630.4,9744,9877.4,9999.2,10073,10222,10395,10532,10683,10806,10953,11095,11235,11371,11513,11654,11807,11942,12031,12131,12241,12373,12450,12613,12759,12873,13023,13181,13316,13467,13603,13727,13843,13920
