c,c,c,c,c,c,b,b,c,g,g,g,g,c,b,b,b,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,h
2115.7,2276.2,2470.8,2616.8,2765.4,3719.7,3868.2,4013.9,4211.1,4365.7,4531.2,4688.4,4877.2,5080.9,5232.5,5376.9,5522.6,5677.5,5822.3,5980.3,6121,6286.3,6434.9,6582.9,6718.5,6864.5,7015,7168.6,7256.2,7355.4,7479.7,7574.3,7695.7,7822.4,7956.6,8069.6,8142.7,8333.3,8489.2,8618.2,8767.8,8884.9,8956.7,9129.5,9261,9402.4,9546.4,9695.5,9780.3,9881.8,10013,10105,10229,10360,10491,10609,10678,10917,11069,11196,11337,11479,11613,11765,11854,11950,12076,12168,12292,12420,12558,12672,12745,12899,13029
2146.6,2309.5,2496.8,2662.2,2809.7,3763.8,3935.4,4082.3,4248.7,4405.1,4572.8,4729.8,4926,5105.9,5260.7,5435.7,5588,5739.9,5883.5,6042.7,6182.2,6349.5,6502.2,6646.8,6799.1,6945,7098.1,7224.7,7319.6,7417.7,7536.9,7665.2,7789.3,7884.3,8011.9,8128.8,8212,8377.8,8538.8,8681.4,8827.4,8949.4,9027.2,9189.8,9341.5,9482.2,9626.4,9755,9849.6,9950.9,10071,10195,10321,10414,10545,10664,10749,10957,11112,11260,11401,11540,11691,11825,11918,12018,12133,12263,12389,12483,12615,12732,12814,12957,13069
