g,c,b,c,c,b,b,b,e,e,e,e,e,j,j,j,g,b,b,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,l,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d
2338.3,2512.6,2643,2795.1,2915.4,3060.9,3229.3,3360.8,3500.8,3677.5,3821,3959.3,4102.7,4238.8,4390.6,4544.8,4694.7,4826.6,4952.7,5098.1,5239.5,5377.9,5521.1,5666.8,5810.6,5956.8,6041.7,6144.4,6269.8,6360.2,6481.8,6609.3,6741,6858,6932.1,7082.9,7220.7,7363.1,7507.6,7653,7738.7,7839.2,7964.1,8057.2,8177.9,8304.3,8436.8,8555,8626.8,8782.9,8923.1,9061.5,9183.1,9321.2,9452.5,9593.3,9720.7,9869.2,10017,10103,10206,10331,10423,10548,10676,10808,10922,10995,11153,11285,11403
2381.6,2541.3,2671,2820.7,2957.7,3106.2,3257.3,3398.4,3566.2,3747.4,3883.9,4027.6,4173.7,4316.2,4464.9,4612.5,4734.9,4871.3,5020.1,5158,5311.2,5441.2,5596.2,5742,5887.9,6017.2,6108.1,6208.5,6319.7,6449.5,6574,6670.5,6795,6915.5,6996.9,7142.4,7294,7439.8,7582.7,7712.8,7804.1,7904,8018.6,8148.6,8274.6,8366.7,8494.4,8610.7,8690.6,8839.1,8957.3,9106.3,9248.4,9384,9516.3,9662.4,9796.1,9945.2,10076,10171,10270,10390,10515,10640,10735,10860,10982,11060,11211,11330,11460
