h,c,c,c,c,b,b,b,c,b,g,g,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,h,g,g,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,j,j,i,l,l,d,f
426.16,553.25,727.69,892.41,1083.9,1254.3,1654.6,1805.4,1954.2,2109.4,2573.9,2729.6,2896,3060.3,3227,3383,3538.6,3685.6,3828.2,3986.8,4143.2,4231.4,4332.2,4463.7,4556.4,4680.7,4812.2,4957.4,5076.3,5145.7,5332.3,5492.2,5645.3,5792.5,5922.5,6064.2,6215.9,6368.3,6509.9,6656.9,6819.8,6969.6,7113.4,7263.4,7402.1,7585.6,7710.3,7873.5,8008.6,8130.3,8274.6,8424.2,8573.5,8722.3,8806.3,8908.7,9031.8,9124.4
457,581.66,765.25,927.91,1133.8,1319.3,1677.2,1837.4,2011.6,2166.8,2614.7,2770,2951.7,3117.8,3284.9,3443.7,3612.7,3744.3,3908.6,4065.9,4199.4,4298.5,4400,4512.3,4646.2,4772.5,4869.8,5010.8,5131.5,5212,5364.2,5535.1,5688.9,5842.4,5989.8,6137.7,6286,6438.3,6580.1,6732.9,6890.5,7039.9,7183.1,7330.1,7474.5,7628.9,7774,7934.7,8068.8,8209.7,8356.1,8504.3,8651.9,8784,8875.8,8976.4,9085.3,9204.6
