g,c,c,c,c,c,c,c,c,b,b,b,b,b,b,b,c,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,c
1998,2181.4,2351.2,2489.9,2671.3,2807.6,2964.5,3135.7,3270.6,3455.6,3598.1,3739.3,3888.3,4060.4,4238.4,4377.9,4549.7,4692.2,4839.3,4985.3,5138.4,5274.3,5406,5549.2,5675,5819.9,5970.3,6117.8,6201,6299.3,6427.8,6519.7,6644.1,6772.8,6908.4,7022.7,7093.8,7287.6,7472.2,7611.6,8745.2
2038,2205.2,2381.6,2535.5,2711.1,2853.4,3012.9,3180.9,3346.7,3522.8,3666.2,3805.3,3959.7,4130.9,4308.1,4456.6,4602.1,4751.5,4905.4,5047.8,5200.4,5336.8,5466,5608.9,5755.4,5902.6,6047.8,6176.7,6268.8,6371.4,6481,6611.1,6734.4,6831.5,6965.1,7084.7,7162.1,7329.7,7524.8,7671.2,8777.7
