g,c,c,c,c,c,b,b,b,b,b,b,b,c,e,e,e,e,e,e,e,g,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,d,k,l,e,h,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,g,b,e,e,e,j,j,j,j,j
1994.6,2146.3,2766,2932.7,3059.3,3199.4,3345.2,3502.8,3660.7,3805.2,3941.2,4100.5,4256.5,4422,4566,4710.5,4861.8,5002.7,5136.1,5270.6,5407.7,5558.1,5693.9,5834.8,5976.5,6119.1,6273.3,6425.7,6571.5,6717.2,6800.7,6901.3,7030.7,7121.3,7244.1,7367,7500.4,7618.1,7686.4,7841.9,7967.8,8117.6,8269,8412.8,8500.1,8599.6,8728,8818,8941.3,9066.3,9203.4,9319.7,9389.9,9545.8,9686.2,9803.8,9872.9,10029,10163,10276,10392,10463,10625,10760,10879,11003,11145,11273,11416,11563,11709,11794,11896,12028,12120,12248,12377,12510,12629,12701,12973,13111,13242,13375,13503,13633,13781,13923,14059,14214,14377,14461,14566,14698,14787,14914,15042,15186,15302,15374,15538,15675,15849,16014,16177,16334,16471,16616,16759,16885,17040,17197,17357,17512
2015,2175.4,2810,2971.6,3112,3266,3396.6,3574.3,3733.9,3871.9,4012.7,4176.1,4331.1,4490.7,4638.7,4779.4,4930.5,5067.7,5199.3,5334.7,5473.1,5603.2,5753.1,5905.1,6049.3,6187.8,6339.4,6502.6,6649.3,6775.6,6871.7,6968.1,7082.5,7213.8,7336.1,7428.5,7556.3,7677.9,7758.1,7903.2,8050.3,8197.6,8346.6,8473.3,8569.1,8670.4,8783.4,8909.1,9034.8,9131.2,9259.2,9383.6,9461.9,9607.8,9743.4,9865.4,9945.9,10091,10204,10333,10453,10533,10690,10803,10926,11071,11210,11345,11497,11641,11770,11864,11964,12084,12213,12344,12441,12567,12692,12772,13017,13156,13305,13418,13553,13696,13850,13986,14140,14294,14439,14531,14637,14753,14881,15007,15106,15244,15366,15447,15597,15716,15893,16056,16217,16384,16535,16684,16826,16970,17121,17280,17437,17591
