g,c,c,c,c,c,c,c,c,b,b,b,b,e,e,e,e,e,j,j,j,i,k,l,d,f,f,i,d,k,l,c,e,g,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,c,e,e,e,g,b,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,d,k,l,e,h,g,g,b,b,b,b,b,b,c,g,c,b,g,g,c,b,g,g,b,b,b,b
1996.7,2134.6,2292,2421.8,2560.2,2712.6,2839.4,2981.2,3108.4,3253.2,3421.3,3575.7,3744.3,3912.6,4068.3,4217.1,4357.3,4504,4650,4792.2,4938.5,5093,5177.6,5281.6,5410,5500.5,5624.9,5747.8,5884.2,6001,6070.8,6277.2,6402.8,6544.2,6713.7,6846.4,6993.8,7130.4,7278.2,7425.8,7509.1,7607.1,7737.3,7829,7950.7,8078.6,8212.3,8332.9,8404.1,8555.7,8682.3,8829.4,8979.5,9130.6,9217.7,9318.8,9448.1,9541.5,9668.5,9795.3,9932.1,10058,10128,10344,10491,10613,10753,10897,11030,11179,11334,11419,11522,11647,11741,11866,11993,12130,12250,12323,12525,12648,12802,12952,13095,13221,13334,13485,13661,13804,13940,14101,14188,14292,14422,14514,14638,14767,14901,15019,15090,15290,15413,15546,15673,15746,15911,16044,16202,16353,16491,16626,16774,16914,17068,17213,17359,17528,17666,17807,18002,18177,18349,18471,18660,18842,18999,19141,19275,19412
2029.4,2166.3,2331.3,2469.8,2611.8,2761.8,2888.2,3022.5,3177.1,3327,3491.8,3645.3,3818.1,3970.6,4130,4288,4423.8,4568.1,4729.6,4873.1,5019.8,5153.2,5246.8,5350.4,5465.4,5593.9,5716.9,5811.4,5940.1,6060.5,6141.3,6303.6,6466.5,6587.1,6764.2,6908.4,7058.9,7210.8,7357.2,7486.5,7579.9,7679.7,7794.3,7920.4,8048.2,8143.6,8265.5,8394.3,8475,8617,8762.4,8910,9059.6,9190.3,9285.2,9391.7,9506,9633.8,9761.9,9859.6,9991.6,10103,10177,10388,10536,10675,10814,10960,11113,11261,11398,11491,11589,11703,11835,11964,12058,12188,12313,12390,12563,12713,12865,13019,13133,13269,13401,13548,13723,13866,14020,14162,14258,14358,14472,14608,14736,14830,14957,15079,15159,15336,15477,15608,15736,15832,15972,16086,16239,16395,16546,16698,16840,16989,17139,17289,17388,17573,17714,17878,18045,18218,18398,18537,18716,18888,19071,19210,19346,19474
