c,c,c,c,c,c,c,c,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,d,k,l,e,h,d,k,l,g,g,g,c,e,e,j,e,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,g,c,b,b,b,e,e,e
2273.9,2444.4,2597.6,2764.6,2914.9,3092.1,3242.4,3414.3,3566.5,3730.2,3909.1,4097.5,4252.5,4405.3,4544.5,4694.6,4863.3,5017.9,5180.2,5330.9,5487,5571.2,5674.1,5797.5,5890.3,6012.1,6140.4,6272.3,6389.9,6463.3,6624.3,6760.6,6909.2,7057.2,7209.8,7296.1,7397.3,7526.3,7619.2,7745.1,7872.1,8011.1,8129.8,8200.9,8359.5,8492.2,8610.2,8683,8835.4,8972.5,9105.2,9225.3,9374.7,9512.9,9647.5,9795.9,9947,10032,10138,10263,10356,10482,10610,10746,10863,10936,11164,11302,11426,11554,11681,11798,11873,12042,12178,12301,12421,12493,12743,12885,13045,13194,13324,13459,13594,13749,13876,14006,14079,14236,14365,14488,14562,14738,14882,15036,15185,15336,15424,15526,15656,15751,16075,16234,16356,16500,16659,16804,16952,17088
2295.2,2479.2,2635.8,2808.2,2973.7,3137.6,3290.3,3478.6,3639.6,3800,3974.6,4160.8,4330.7,4479.8,4607.9,4755.4,4927.8,5082,5258.6,5408.7,5545.6,5639.7,5745.8,5853.2,5983.8,6105.2,6205.1,6326.8,6452.8,6533.3,6684.5,6840,6985.2,7140.8,7272,7368.7,7467.9,7581.7,7712,7835.4,7938,8068.7,8193.3,8270.2,8420.2,8550.1,8671.6,8751.8,8900.8,9017.4,9145.7,9289.4,9442.3,9576.7,9729.4,9880.8,10008,10099,10209,10318,10448,10577,10677,10802,10926,11007,11204,11346,11488,11597,11739,11861,11946,12103,12218,12356,12483,12564,12790,12924,13093,13241,13386,13524,13671,13801,13941,14066,14149,14299,14425,14555,14636,14795,14966,15115,15264,15399,15492,15600,15712,15801,16116,16260,16424,16571,16728,16869,17013,17151
