e,c,c,c,g,c,g,c,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,j,i,l,l,d,f,f,i,g,b,e,j,j,j,j,i,l,l,g,g,g,b,b,e,h,d,k,l,e,h,g,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,c
2634.3,3263,3440.8,3605,4091.2,4257.5,4420.3,4602.2,4740,4876.7,5032,5200.2,5363,5516,5650,5786.1,5924.1,6069.8,6202.7,6341.1,6491.2,6575.2,6674.1,6804,6891.6,7015,7141.3,7276.6,7389.8,7460.2,7628,7753.4,7899,8042.5,8171.7,8316.6,8464.5,8550.9,8645.5,8772.9,8864.7,8989.1,9117.2,9243.7,9356.9,9430.4,9582.8,9709.9,9834.1,9902.4,10055,10187,10305,10435,10572,10724,10800,10910,11040,11132,11253,11381,11538,11686,11813,11952,12096,12245,12390,12539,12624,12729,12873,13022,13176,13335,13459,13601,13738,13856,13972,14044,14204,14336,14472,14595,14722,14860,14996,15132,15262,15403,15556,15708,15796,15897,16024,16117,16244,16371,16513,16640,16705,21565
2705.6,3303.7,3480.6,3649.2,4130,4293.1,4462.8,4644,4784.5,4948.4,5099.6,5275.6,5425.8,5578.4,5710.6,5843.5,5987.1,6128.3,6281.8,6417,6551,6644.2,6746.6,6854.5,6985.8,7105,7206.7,7328,7450.5,7527.6,7674.2,7816,7960.4,8104.4,8250.1,8394.1,8524.5,8615.5,8714.5,8825.5,8956,9083.4,9175.9,9296.2,9419.7,9497.9,9643.5,9764.7,9875.4,9950.5,10112,10231,10354,10496,10649,10784,10878,10981,11095,11219,11344,11440,11585,11732,11877,12030,12175,12320,12467,12602,12694,12793,12894,13062,13227,13392,13536,13663,13780,13910,14033,14112,14260,14376,14510,14638,14786,14923,15059,15192,15342,15486,15634,15768,15864,15966,16076,16214,16352,16434,16565,16693,16770,21585
