c,c,c,c,b,b,b,b,b,b,c,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,h,c,e,h,d,k,l,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,g,b,c,b,e,h,e,h,g,g,b,e,h,d,k,l,g,g,g,g,h,l,b,b,b,b,b,b,b,c
2456.8,2598.4,2737.8,2925,3075.8,3219.7,3381.4,3576.6,3732.9,3931,4084.9,4229.8,4376.5,4529.2,4684.9,4836.2,4985.2,5126,5269,5409.8,5545.1,5695.4,5848.4,5993,6080.3,6182.6,6306.9,6399.1,6526.3,6656.6,6794.5,6907.5,6980.7,7130.1,7265.3,7406.8,7559.5,7647.6,7750.2,7877.7,7969.4,8093.6,8223.4,8360.1,8474.4,8547,8703.9,8838.2,8948.2,9063.7,9137.6,9291.5,9424.6,9607.7,9757.1,9876.9,10023,10139,10263,10337,10514,10631,10779,10920,11062,11205,11339,11484,11632,11783,11871,11971,12096,12192,12317,12446,12578,12694,12767,12963,13084,13227,13378,13529,13660,13692,13817,13962,14210,14353,14505,14658,14818,14944,15092,15212,15326,15401,15616,15774,15924,16094,16248,16394,16568,16702,16869,17005,17129,17271,17420,17567
2486.8,2628.6,2771.6,2967.4,3116.1,3284.2,3446.4,3640.7,3795.6,3966.5,4135.5,4279.8,4432,4590.3,4746.6,4896,5045.8,5185.4,5336.2,5476.4,5616.4,5770.6,5926.7,6053.4,6146.6,6247.7,6358.8,6490.3,6620.3,6717.2,6846.8,6968.4,7046.3,7188.6,7344.1,7480.6,7620.3,7713.4,7818.2,7925.1,8062.4,8188.2,8286.3,8414.8,8535,8612.7,8764.7,8880.8,9000.6,9119.6,9203.3,9350.7,9457.4,9633.9,9796.5,9938.2,10059,10194,10319,10397,10543,10695,10845,10980,11126,11270,11418,11562,11708,11839,11936,12040,12150,12282,12411,12508,12633,12752,12834,12992,13150,13295,13418,13560,13685,13728,13884,13996,14270,14393,14544,14699,14858,15008,15132,15269,15390,15470,15655,15819,15977,16140,16286,16439,16610,16766,16911,17051,17194,17344,17496,17614
