h,g,c,b,c,c,b,b,b,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,g,b,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,c,j,c,j
3549.2,3713.9,3927.6,4050.7,4192.3,4350.3,4482.6,4630.4,4770.1,4906.3,5056.2,5206,5340.9,5498.5,5637.6,5784.7,5927.5,6066.8,6199.1,6347.3,6494.4,6580.2,6680.6,6809.2,6899.4,7022.1,7145.5,7276.9,7390.2,7462.1,7617.6,7750.2,7900.8,7985,8082,8209.2,8302.7,8426.2,8551.4,8687.9,8811.9,8877.2,9026.3,9160.8,9278.1,9347.8,9512.7,9638.8,9788.1,9937.8,10023,10125,10250,10341,10466,10592,10727,10844,10917,11098,11219,11363,11517,11663,11793,11918,12058,12189,12344,12490,12642,12729,12829,12954,13047,13173,13301,13436,13552,13625,13840,13975,14105,14238,15438,15545,15699,15726
3580.5,3761.4,3959.3,4095.7,4227.3,4390.2,4547.4,4693.5,4831.7,4975.4,5120.4,5273.8,5416.5,5565.2,5702.1,5849.8,5991.5,6134.1,6279.2,6424.7,6554.5,6647.1,6742.2,6863.6,6993.7,7114.1,7210.6,7332.9,7454,7529.8,7677,7828.2,7957.4,8049.6,8151.7,8261.4,8391.7,8519.8,8609.6,8744,8862.4,8941.8,9088.8,9218.3,9342.1,9437.2,9577.9,9719.8,9864.6,10000,10087,10191,10308,10434,10562,10652,10786,10909,10982,11129,11282,11405,11557,11708,11829,11983,12126,12269,12417,12569,12704,12796,12896,13008,13139,13266,13358,13497,13613,13692,13879,14020,14164,14277,15534,15666,15721,15794
