e,c,c,c,c,c,b,c,c,c,c,c,g,e,e,e,e,e,e,g,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,h,d,k,l,e,h,b,e,e,h,b,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,b,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d
1990.8,2152,2303.3,2453,2580.8,2729.1,2876.8,3051.1,3269.6,3409.9,3579.1,3757.5,3946,4088.8,4249.8,4411.1,4559.5,4732.4,4883,5033.7,5183.2,5297.1,5442,5584.1,5720.5,5889.3,6028.8,6198.6,6354.5,6494,6635,6774.8,6927.9,7076.4,7161.9,7262.2,7391.8,7482.3,7607.2,7733.1,7868.7,7983.1,8055,8212.5,8343,8466.2,8536.4,8691.8,8825.2,8944.3,9017.5,9177.3,9311,9428.1,9546.8,9619.2,9782.6,9927.1,10090,10211,10351,10490,10627,10750,10901,11040,11189,11275,11377,11504,11598,11723,11849,11985,12103,12176,12366,12489,12626,12779,12912,13038,13184,13326,13462,13613,13748,13905,14053,14197,14333,14465,14614,14758,14907,14994,15098,15223,15316,15439,15568,15705
2023.5,2172.6,2339.3,2486.6,2623.3,2774.3,2937,3106.5,3307.4,3447.8,3615.9,3793.2,3984.5,4148.1,4309.6,4467,4616.3,4794.7,4942.7,5066.2,5236.5,5364.6,5511.1,5650.1,5792.7,5962.9,6100.2,6263.2,6414.1,6557.5,6713.7,6854.8,7007.5,7136,7230.4,7329.4,7443.3,7573.3,7700.3,7795.8,7925,8045.1,8123.1,8272.1,8400.3,8508.3,8584.9,8752.6,8881,9004.8,9088.2,9238.2,9352.4,9484.1,9608.6,9687.3,9843.8,9966.3,10131,10274,10415,10532,10673,10813,10962,11119,11248,11346,11445,11559,11691,11817,11913,12037,12166,12243,12410,12551,12663,12817,12966,13111,13253,13394,13538,13681,13820,13973,14118,14260,14394,14543,14693,14836,14966,15064,15164,15272,15407,15534,15631,15759
