b,c,c,c,b,b,c,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,b,b,b,b,b,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,g
2710.2,2861,2984.7,3133.3,3256.6,3389.3,3533,3671.7,3823.8,3960,4095.8,4240.3,4388.5,4525.1,4666.7,4830.2,4975.1,5115.7,5262,5407.1,5492.9,5589,5804.5,5942.9,6075.2,6219.5,6371.5,6546.4,6663.6,6816.2,6958.9,7099.7,7249.7,7392.1,7520.7,7659.6,7805.3,7890.2,7986.8,8110.2,8201.5,8327.2,8453.8,8581.6,8698.5,8765.7,8910.6,9038.6,9182,9329.8,9476.2,9565.8,9665.7,9790.6,9883.8,10007,10133,10268,10373,10457,10611,10747,10859,10973,11049,11207,11348,11518
2740.1,2896.6,3024.8,3169.4,3298.2,3435.2,3599.8,3737.4,3873.6,4010.2,4153.3,4310.2,4458,4602.4,4733.7,4895.9,5049.8,5190.7,5336.9,5467.4,5556.9,5660.7,5850.3,6009.3,6140.3,6282.1,6438.7,6585.6,6729,6877.2,7019.9,7171.2,7318.5,7459.7,7599.2,7736.4,7862.8,7953.9,8053.8,8168.7,8295,8424.3,8516.6,8636.4,8755,8830.4,8974.9,9118.1,9260.9,9407.2,9536.2,9629.3,9731.8,9855.5,9976.7,10096,10190,10320,10444,10524,10675,10783,10916,11034,11110,11266,11387,11559
