c,c,c,c,c,c,c,b,b,b,b,b,c,e,e,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,c,e,h,b,e,e,e,e,e,j,i,j,i,l,l,d,f,f,i,d,k,l
2365.6,2532.6,2725.2,2869.6,3024.1,3180.8,3317.5,3498.6,3684.4,3831,3988.8,4168.3,4329.3,4479.9,4638.7,4790.2,4927.9,5070.5,5221.2,5368,5513.2,5667.3,5817.9,5953.8,6094.7,6248.2,6332.9,6432.8,6557.9,6648.8,6773.9,6902.5,7037.7,7151,7223.2,7422.9,7538.2,7679.9,7829,7962.1,8109.3,8266.8,8414.1,8558.8,8689.7,8827.2,8985.1,9133.7,9218.5,9318.1,9446.2,9537,9661.1,9786.4,9919.2,10036,10107
2395.7,2574,2764,2914.4,3071.2,3238.3,3392.6,3569.3,3747.3,3900.9,4059.2,4240.8,4388.8,4542.7,4696.6,4858.7,4991,5136.1,5283.7,5429.8,5579,5728.7,5885,6031,6175.9,6305.9,6402.3,6504.3,6612.4,6744.4,6867.8,6964.2,7092.4,7212.2,7290.3,7456.6,7600.7,7723.2,7876.9,8022.7,8172.3,8325.6,8475.2,8619.2,8765.8,8917.5,9062.5,9192.4,9286.2,9388.8,9502.8,9628.9,9756.2,9849.2,9974.8,10098,10173
