g,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,g,g,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,g,g,b,e,h,b,e,j,j,j,i,l,l,d,f,f,i,d,k
1998.5,2154.2,2293.1,2434.1,2584.5,2741.2,2872.9,3033.1,3191.2,3349.7,3509.8,3679.9,3835.9,3986.2,4124.6,4272.9,4415.2,4561.7,4700.8,4886.8,5022,5145.8,5300,5440.8,5583.6,5728.8,5881,5966.7,6069.2,6201.5,6292.9,6417.8,6545.8,6688.4,6806.9,6878.7,7043.9,7186.6,7306.7,7457.4,7626.2,7798.3,7936.2,8069.2,8205.3,8341.8,8468.8,8605.7,8753.4,8898.5,9052.8,9139.4,9242.9,9372.8,9466.7,9588.5,9718.5,9859.5,9950.1
2041.7,2194.2,2334.9,2475.8,2625.8,2788.5,2939,3104.4,3262.1,3419,3577.5,3745,3902.7,4050.8,4188.1,4337.6,4481.8,4640.2,4750.8,4913.6,5070.5,5216.1,5362.8,5503.2,5662.4,5810.7,5940.9,6036.4,6140.5,6257.8,6386.9,6511.5,6610,6742.8,6873.1,6951.2,7104,7229.3,7354.2,7504.8,7671.3,7839,7985.8,8132.2,8250,8385.4,8533.7,8686.3,8834.7,8979,9113.9,9210.2,9313.9,9423.6,9557.1,9683.3,9782.7,9915.2,10118
